Word_ID	Form	Cognate_set_ID	Segments	Alignment	Doubt	Cognate_detection_method	Cognate_source	Alignment_method	Alignment_source
577	ta̱ːp⁵⁵	521	t a̰ː p ⁵⁵	t a̰ː p ⁵⁵		expert	Hill2017	LingPy:SCA	
578	tɛʔ³¹	521	t ɛ ʔ ³¹	t ɛ ʔ ³¹		expert	Hill2017	LingPy:SCA	
579	tʂap³⁵	521	tʂ a p ³⁵	tʂ a p ³⁵		expert	Hill2017	LingPy:SCA	
1462	pan³³	631	p a n ³³	p - a n ³³		expert	Hill2017	LingPy:SCA	
5559	tθi²²	199	tθ i ²²	tθ i - ²²		expert	Hill2017	LingPy:SCA	
1464	pan⁵⁵tam³¹	400	p a n ⁵⁵ + t a m ³¹	p - a n ⁵⁵ + t a m ³¹		expert	Hill2017	LingPy:SCA	
596	oi⁵⁵	283	o i ⁵⁵	- o i ⁵⁵		expert	Hill2017	LingPy:SCA	
598	vui⁵¹	283	v u i ⁵¹	v u i ⁵¹		expert	Hill2017	LingPy:SCA	
599	vɛ⁵⁵	283	v ɛ ⁵⁵	v ɛ - ⁵⁵		expert	Hill2017	LingPy:SCA	
602	ɣəː³¹	283	ɣ əː ³¹	ɣ əː - ³¹		expert	Hill2017	LingPy:SCA	
603	vai³¹	283	v a i ³¹	v a i ³¹		expert	Hill2017	LingPy:SCA	
604	ui⁵⁵	283	u i ⁵⁵	- u i ⁵⁵		expert	Hill2017	LingPy:SCA	
4702	i⁵⁵tshe⁵¹	546	i ⁵⁵ + tsʰ e ⁵¹	- i - ⁵⁵ + tsʰ e - ⁵¹		expert	Hill2017	LingPy:SCA	
4704	i̱³⁵thai⁵⁵	546	ḭ ³⁵ + tʰ a i ⁵⁵	- ḭ - ³⁵ + tʰ a i ⁵⁵		expert	Hill2017	LingPy:SCA	
4706	ə̱⁵⁵tshe³³	546	ə̰ ⁵⁵ + tsʰ e ³³	- ə̰ - ⁵⁵ + tsʰ e - ³³		expert	Hill2017	LingPy:SCA	
4707	ʃi̱k⁵⁵tshɛ³¹	14	ʃ ḭ k ⁵⁵ + tsʰ ɛ ³¹	ʃ ḭ k ⁵⁵ + tsʰ ɛ - ³¹		expert	Hill2017	LingPy:SCA	
4709	ta³¹sau⁵⁵	152	t a ³¹ + s a u ⁵⁵	t a - ³¹ + s a u ⁵⁵		expert	Hill2017	LingPy:SCA	
7249	mliy	698	m l i j	m l i j		expert	Hill2017	LingPy:SCA	
4713	sək⁵⁵	220	s ə k ⁵⁵	s ə k ⁵⁵		expert	Hill2017	LingPy:SCA	
4716	i⁵⁵	17	i ⁵⁵	i - ⁵⁵		expert	Hill2017	LingPy:SCA	
4718	i̱³⁵	17	ḭ ³⁵	ḭ - ³⁵		expert	Hill2017	LingPy:SCA	
4721	ə̱k⁵⁵	17	ə̰ k ⁵⁵	ə̰ k ⁵⁵		expert	Hill2017	LingPy:SCA	
4722	ʃi̱k⁵⁵	220	ʃ ḭ k ⁵⁵	ʃ ḭ k ⁵⁵		expert	Hill2017	LingPy:SCA	
627	tsă³¹oi³¹	526	ts ă ³¹ + o i ³¹	ts ă ³¹ + o i ³¹		expert	Hill2017	LingPy:SCA	
4724	sɤk⁵⁵	220	s ɤ k ⁵⁵	s ɤ k ⁵⁵		expert	Hill2017	LingPy:SCA	
629	tsŏ²¹ʃaŋ⁵¹	110	ts ŏ ²¹ + ʃ a ŋ ⁵¹	ts ŏ ²¹ + ʃ a ŋ ⁵¹		expert	Hill2017	LingPy:SCA	
630	tă³¹ʃɔ̃⁵⁵	110	t ă ³¹ + ʃ ɔ̃ ∼ ⁵⁵	t ă ³¹ + ʃ ɔ̃ ∼ ⁵⁵		expert	Hill2017	LingPy:SCA	
633	tsɔ̆³⁵ʃɔ̃³¹	110	ts ɔ̆ ³⁵ + ʃ ɔ̃ ∼ ³¹	ts ɔ̆ ³⁵ + ʃ ɔ̃ ∼ ³¹		expert	Hill2017	LingPy:SCA	
634	tsɔ³¹ui³¹	526	ts ɔ ³¹ + u i ³¹	ts ɔ ³¹ + u i ³¹		expert	Hill2017	LingPy:SCA	
1471	tɔ̃³¹	725	t ɔ̃ ∼ ³¹	t ɔ̃ ∼ ³¹		expert	Hill2017	LingPy:SCA	
660	xan³¹tɕin³¹	409	x a n ³¹ + tɕ i n ³¹	x a n ³¹ + tɕ i n ³¹		expert	Hill2017	LingPy:SCA	
7387	nhaṅḥ	41	n̥ a ŋ ⁵⁵	n̥ a ŋ ⁵⁵		expert	Hill2017	LingPy:SCA	
663	mu̱t⁵⁵mau⁵⁵	59	m ṵ t ⁵⁵ + m a u ⁵⁵	m ṵ t ⁵⁵ + m a u ⁵⁵		expert	Hill2017	LingPy:SCA	
664	tʃa̱m⁵⁵	426	tʃ a̰ m ⁵⁵	tʃ a̰ m ⁵⁵		expert	Hill2017	LingPy:SCA	
1476	tʂam⁵⁵	154	tʂ a m ⁵⁵	tʂ a m ⁵⁵		expert	Hill2017	LingPy:SCA	
666	tsɔ̱m⁵⁵mou⁵⁵	64	ts ɔ̰ m ⁵⁵ + m o u ⁵⁵	ts ɔ̰ m ⁵⁵ + m o u ⁵⁵		expert	Hill2017	LingPy:SCA	
667	tʃa̱m³¹thɔi³⁵	263	tʃ a̰ m ³¹ + tʰ ɔ i ³⁵	tʃ a̰ m ³¹ + tʰ ɔ i ³⁵		expert	Hill2017	LingPy:SCA	
668	çaŋ⁵⁵cin³¹	409	ç a ŋ ⁵⁵ + c i n ³¹	ç a ŋ ⁵⁵ + c i n ³¹		expert	Hill2017	LingPy:SCA	
672	kʐuat⁵⁵	655	k ʐ u a t ⁵⁵	k ʐ u a t ⁵⁵		expert	Hill2017	LingPy:SCA	
674	kjoʔ²¹	655	k j o ʔ ²¹	k j o - ʔ ²¹		expert	Hill2017	LingPy:SCA	
675	kjaʔ³¹	655	k j a ʔ ³¹	k j a - ʔ ³¹		expert	Hill2017	LingPy:SCA	
676	ŋaːm⁵⁵	200	ŋ aː m ⁵⁵	ŋ aː m ⁵⁵		expert	Hill2017	LingPy:SCA	
677	kjɔʔ³¹	655	k j ɔ ʔ ³¹	k j ɔ - ʔ ³¹		expert	Hill2017	LingPy:SCA	
678	kʐot⁵⁵	655	k ʐ o t ⁵⁵	k ʐ o - t ⁵⁵		expert	Hill2017	LingPy:SCA	
4780	phat⁵⁵	397	pʰ a t ⁵⁵	pʰ a t ⁵⁵		expert	Hill2017	LingPy:SCA	
686	ʐə³⁵	441	ʐ ə ³⁵	ʐ ə ³⁵		expert	Hill2017	LingPy:SCA	
4783	phat⁵⁵	397	pʰ a t ⁵⁵	pʰ a t ⁵⁵		expert	Hill2017	LingPy:SCA	
689	le⁵⁵	441	l e ⁵⁵	l e ⁵⁵		expert	Hill2017	LingPy:SCA	
691	la⁵⁵	441	l a ⁵⁵	l a ⁵⁵		expert	Hill2017	LingPy:SCA	
4788	phaːt⁵⁵	397	pʰ aː t ⁵⁵	pʰ aː t ⁵⁵		expert	Hill2017	LingPy:SCA	
4790	tauk³¹	699	t a u k ³¹	t a u k ³¹		expert	Hill2017	LingPy:SCA	
695	li⁵⁵	441	l i ⁵⁵	l i ⁵⁵		expert	Hill2017	LingPy:SCA	
4793	phat⁵⁵	397	pʰ a t ⁵⁵	pʰ a t ⁵⁵		expert	Hill2017	LingPy:SCA	
2069	ʃɔ̆³⁵pak³¹	445	ʃ ɔ̆ ³⁵ + p a k ³¹	ʃ ɔ̆ ³⁵ + p a k ³¹		expert	Hill2017	LingPy:SCA	
8894	sak⁵⁵◦faʔ⁵⁵	710	s a k ⁵⁵ + f a ʔ ⁵⁵	s a k ⁵⁵ + f a ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
4801	so²¹	278	s o ²¹	s - o ²¹		expert	Hill2017	LingPy:SCA	
4803	sɔ³⁵	278	s ɔ ³⁵	s - ɔ ³⁵		expert	Hill2017	LingPy:SCA	
4805	sɔ̱ː⁵⁵	278	s ɔ̰ː ⁵⁵	s - ɔ̰ː ⁵⁵		expert	Hill2017	LingPy:SCA	
4806	su³⁵	278	s u ³⁵	s - u ³⁵		expert	Hill2017	LingPy:SCA	
4808	so³¹	278	s o ³¹	s - o ³¹		expert	Hill2017	LingPy:SCA	
1486	sai⁵⁵von²¹	673	s a i ⁵⁵ + v o n ²¹	s a i ⁵⁵ + v o n ²¹		expert	Hill2017	LingPy:SCA	
1487	sai³⁵vun³¹	673	s a i ³⁵ + v u n ³¹	s a i ³⁵ + v u n ³¹		expert	Hill2017	LingPy:SCA	
738	an³⁵	667	a n ³⁵	a n ³⁵		expert	Hill2017	LingPy:SCA	
740	ŋa̱p⁵⁵	492	ŋ a̰ p ⁵⁵	ŋ a̰ p ⁵⁵		expert	Hill2017	LingPy:SCA	
741	ŋɛ̱ʔ⁵⁵	492	ŋ ɛ̰ ʔ ⁵⁵	ŋ ɛ̰ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
743	ŋa̱ːp⁵⁵	492	ŋ a̰ː p ⁵⁵	ŋ a̰ː p ⁵⁵		expert	Hill2017	LingPy:SCA	
744	ŋɛ̱ʔ⁵⁵	492	ŋ ɛ̰ ʔ ⁵⁵	ŋ ɛ̰ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
745	an³⁵	667	a n ³⁵	a n ³⁵		expert	Hill2017	LingPy:SCA	
4865	ti⁵⁵	93	t i ⁵⁵	t i ⁵⁵		expert	Hill2017	LingPy:SCA	
4868	vui⁵¹	620	v u i ⁵¹	v - u i - ⁵¹		expert	Hill2017	LingPy:SCA	
4871	ɣəi⁵⁵	620	ɣ ə i ⁵⁵	ɣ - ə i - ⁵⁵		expert	Hill2017	LingPy:SCA	
4875	kjei³¹	620	k j e i ³¹	k j e i - ³¹		expert	Hill2017	LingPy:SCA	
4877	ɣək³¹	620	ɣ ə k ³¹	ɣ - ə - k ³¹		expert	Hill2017	LingPy:SCA	
4879	ti⁵⁵	93	t i ⁵⁵	t i ⁵⁵		expert	Hill2017	LingPy:SCA	
4894	ŋɔ⁵⁵tuʔ³¹	587	ŋ ɔ ⁵⁵ + t u ʔ ³¹	ŋ ɔ ⁵⁵ + t u ʔ ³¹		expert	Hill2017	LingPy:SCA	
4895	ŋa⁵⁵moʔ⁵⁵	221	ŋ a ⁵⁵ + m o ʔ ⁵⁵	ŋ a ⁵⁵ + m o ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
4896	ŋă⁵⁵maʔ³¹	221	ŋ ă ⁵⁵ + m a ʔ ³¹	ŋ ă ⁵⁵ + m a ʔ ³¹		expert	Hill2017	LingPy:SCA	
4897	ŋŏ³¹nu̱ŋ⁵⁵	500	ŋ ŏ ³¹ + n ṵ ŋ ⁵⁵	ŋ ŏ ³¹ + n ṵ - ŋ ⁵⁵		expert	Hill2017	LingPy:SCA	
4898	ŋɔ̆³¹na̱uŋ⁵⁵	500	ŋ ɔ̆ ³¹ + n a̰ u ŋ ⁵⁵	ŋ ɔ̆ ³¹ + n a̰ u ŋ ⁵⁵		expert	Hill2017	LingPy:SCA	
4899	ŋɔ⁵⁵tu³⁵	587	ŋ ɔ ⁵⁵ + t u ³⁵	ŋ ɔ ⁵⁵ + t u - ³⁵		expert	Hill2017	LingPy:SCA	
4231	ʃŏ⁵⁵mji³³	519	ʃ ŏ ⁵⁵ + m j i ³³	ʃ - ŏ ⁵⁵ + m j i ³³		expert	Hill2017	LingPy:SCA	
6280	chi⁵⁵	89	cʰ i ⁵⁵	cʰ - i - ⁵⁵		expert	Hill2017	LingPy:SCA	
3307	nai⁵⁵	291	n a i ⁵⁵	n - a i - ⁵⁵		expert	Hill2017	LingPy:SCA	
141	o³¹	723	o ³¹	- o ³¹		expert	Hill2017	LingPy:SCA	
4951	phet⁵⁵	116	pʰ e t ⁵⁵	pʰ e t ⁵⁵		expert	Hill2017	LingPy:SCA	
4953	te̱ʔ⁵⁵	497	t ḛ ʔ ⁵⁵	t ḛ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
4954	tʃɔ̱ʔ⁵⁵	497	tʃ ɔ̰ ʔ ⁵⁵	tʃ ɔ̰ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
2191	sa̱ːt⁵⁵	499	s a̰ː t ⁵⁵	s a̰ː t ⁵⁵		expert	Hill2017	LingPy:SCA	
4957	tʃu̱ːʔ⁵⁵	497	tʃ ṵː ʔ ⁵⁵	tʃ ṵː ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
4958	tʃu̱k⁵⁵	497	tʃ ṵ k ⁵⁵	tʃ ṵ k ⁵⁵		expert	Hill2017	LingPy:SCA	
4959	coʔ⁵⁵	497	c o ʔ ⁵⁵	c o ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
6288	paʔ⁵⁵	343	p a ʔ ⁵⁵	p a ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
4963	pi³¹si⁵⁵	407	p i ³¹ + s i ⁵⁵	p i ³¹ + s i ⁵⁵		expert	Hill2017	LingPy:SCA	
4966	xai⁵¹	348	x a i ⁵¹	x a i ⁵¹		expert	Hill2017	LingPy:SCA	
4968	pɛ̱⁵⁵tʃuŋ³¹	379	p ɛ̰ ⁵⁵ + tʃ u ŋ ³¹	p ɛ̰ ⁵⁵ + tʃ u ŋ ³¹		expert	Hill2017	LingPy:SCA	
4970	xa³¹tʃuŋ³³	271	x a ³¹ + tʃ u ŋ ³³	x a ³¹ + tʃ u ŋ ³³		expert	Hill2017	LingPy:SCA	
4971	pɛ̱⁵⁵	45	p ɛ̰ ⁵⁵	p ɛ̰ ⁵⁵		expert	Hill2017	LingPy:SCA	
6290	nɛʔ³¹mɔ⁵⁵nɛʔ³¹	231	n ɛ ʔ ³¹ + m ɔ ⁵⁵ + n ɛ ʔ ³¹	n ɛ ʔ ³¹ + m ɔ ⁵⁵ + n - ɛ ʔ ³¹		expert	Hill2017	LingPy:SCA	
1512	sik⁵⁵pu̱ŋ⁵⁵	467	s i k ⁵⁵ + p ṵ ŋ ⁵⁵	s i k ⁵⁵ + p ṵ ŋ ⁵⁵		expert	Hill2017	LingPy:SCA	
3561	mjɔ̃⁵⁵	73	m j ɔ̃ ∼ ⁵⁵	m j ɔ̃ ∼ ⁵⁵		expert	Hill2017	LingPy:SCA	
4984	xoi⁵⁵thɔʔ⁵⁵	434	x o i ⁵⁵ + tʰ ɔ ʔ ⁵⁵	x o i ⁵⁵ + tʰ ɔ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
4244	mja̱ŋ⁵¹	181	m j a̰ ŋ ⁵¹	m j a̰ ŋ ⁵¹		expert	Hill2017	LingPy:SCA	
4987	kha⁵¹ma⁵⁵	380	kʰ a ⁵¹ + m a ⁵⁵	kʰ a ⁵¹ + m a ⁵⁵		expert	Hill2017	LingPy:SCA	
893	ʃeːi³³	168	ʃ eː i ³³	ʃ eː i - ³³		expert	Hill2017	LingPy:SCA	
149	o³¹	723	o ³¹	- o ³¹		expert	Hill2017	LingPy:SCA	
896	ʃik³¹	168	ʃ i k ³¹	ʃ i - k ³¹		expert	Hill2017	LingPy:SCA	
898	ʂɿ⁵⁵	168	ʂ ɿ ⁵⁵	ʂ ɿ - - ⁵⁵		expert	Hill2017	LingPy:SCA	
4998	phʐo⁵⁵	368	pʰ ʐ o ⁵⁵	pʰ ʐ o ⁵⁵		expert	Hill2017	LingPy:SCA	
5000	phju⁵¹	368	pʰ j u ⁵¹	pʰ j u ⁵¹		expert	Hill2017	LingPy:SCA	
5001	phju⁵⁵	368	pʰ j u ⁵⁵	pʰ j u ⁵⁵		expert	Hill2017	LingPy:SCA	
5004	phjuː³³	368	pʰ j uː ³³	pʰ j uː ³³		expert	Hill2017	LingPy:SCA	
5005	phju³¹	368	pʰ j u ³¹	pʰ j u ³¹		expert	Hill2017	LingPy:SCA	
5006	phʐu⁵⁵	368	pʰ ʐ u ⁵⁵	pʰ ʐ u ⁵⁵		expert	Hill2017	LingPy:SCA	
913	khai²¹	188	kʰ a i ²¹	kʰ a i - ²¹		expert	Hill2017	LingPy:SCA	
917	tuː³³	559	t uː ³³	t uː - ³³		expert	Hill2017	LingPy:SCA	
5014	xau⁵⁵	144	x a u ⁵⁵	x a u ⁵⁵		expert	Hill2017	LingPy:SCA	
920	tu³¹	559	t u ³¹	t u - ³¹		expert	Hill2017	LingPy:SCA	
921	tu³¹	559	t u ³¹	t u - ³¹		expert	Hill2017	LingPy:SCA	
5019	khak⁵⁵jauʔ³¹	600	kʰ a k ⁵⁵ + j a u ʔ ³¹	kʰ a k ⁵⁵ + j a u ʔ ³¹		expert	Hill2017	LingPy:SCA	
925	khøʔ³¹	188	kʰ ø ʔ ³¹	kʰ ø - ʔ ³¹		expert	Hill2017	LingPy:SCA	
5022	xaŋ⁵⁵	144	x a ŋ ⁵⁵	x a ŋ ⁵⁵		expert	Hill2017	LingPy:SCA	
5023	khə̆³¹jauk³¹	600	kʰ ə̆ ³¹ + j a u k ³¹	kʰ ə̆ - ³¹ + j a u k ³¹		expert	Hill2017	LingPy:SCA	
5025	xau⁵⁵	144	x a u ⁵⁵	x a u ⁵⁵		expert	Hill2017	LingPy:SCA	
6299	a²¹pji̱⁵¹	641	a ²¹ + p j ḭ ⁵¹	a ²¹ + p j ḭ ⁵¹		expert	Hill2017	LingPy:SCA	
936	ək³⁵	160	ə k ³⁵	ə k ³⁵		expert	Hill2017	LingPy:SCA	
938	tʃhaʔ⁵⁵	29	tʃʰ a ʔ ⁵⁵	tʃʰ a ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
940	lu̱³⁵	618	l ṵ ³⁵	l ṵ - ³⁵		expert	Hill2017	LingPy:SCA	
942	a³¹san⁵⁵	345	a ³¹ + s a n ⁵⁵	a ³¹ + s a n ⁵⁵		expert	Hill2017	LingPy:SCA	
943	la̱u³⁵	618	l a̰ u ³⁵	l a̰ u ³⁵		expert	Hill2017	LingPy:SCA	
944	ɤk³⁵	160	ɤ k ³⁵	ɤ k ³⁵		expert	Hill2017	LingPy:SCA	
5049	ȵi³¹mɔʔ³¹	286	nʲ i ³¹ + m ɔ ʔ ³¹	nʲ - i ³¹ + m ɔ ʔ ³¹		expert	Hill2017	LingPy:SCA	
2207	pa̱t⁵⁵lauk³¹	304	p a̰ t ⁵⁵ + l a u k ³¹	p a̰ t ⁵⁵ + l a u k ³¹		expert	Hill2017	LingPy:SCA	
5052	mji²¹	327	m j i ²¹	m j i ²¹		expert	Hill2017	LingPy:SCA	
957	khui²¹	77	kʰ u i ²¹	kʰ u i - ²¹		expert	Hill2017	LingPy:SCA	
5054	jõ³¹mi³¹	464	j õ ³¹ + m i ³¹	j õ ³¹ + m - i ³¹		expert	Hill2017	LingPy:SCA	
5057	mji³³	327	m j i ³³	m j i ³³		expert	Hill2017	LingPy:SCA	
5058	mji³⁵	327	m j i ³⁵	m j i ³⁵		expert	Hill2017	LingPy:SCA	
964	fui³¹	77	f u i ³¹	f u i - - ³¹		expert	Hill2017	LingPy:SCA	
9161	ñi	309	nʲ i			expert	Hill2017	LingPy:SCA	
5066	l̥i⁵⁵	247	l̥ i ⁵⁵	l̥ i - ⁵⁵		expert	Hill2017	LingPy:SCA	
5069	lai⁵¹	247	l a i ⁵¹	l a i ⁵¹		expert	Hill2017	LingPy:SCA	
5071	li⁵⁵	247	l i ⁵⁵	l i - ⁵⁵		expert	Hill2017	LingPy:SCA	
5074	lei³¹	247	l e i ³¹	l e i ³¹		expert	Hill2017	LingPy:SCA	
5075	la³¹	247	l a ³¹	l a - ³¹		expert	Hill2017	LingPy:SCA	
980	it⁵⁵mɔʔ⁵⁵	458	i t ⁵⁵ + m ɔ ʔ ⁵⁵	- i t ⁵⁵ + m ɔ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
5077	lai⁵⁵	247	l a i ⁵⁵	l a i ⁵⁵		expert	Hill2017	LingPy:SCA	
982	ja̱p⁵⁵maʔ⁵⁵	458	j a̰ p ⁵⁵ + m a ʔ ⁵⁵	j a̰ p ⁵⁵ + m a ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
983	jɔ̱p⁵⁵mɔʔ³¹	458	j ɔ̰ p ⁵⁵ + m ɔ ʔ ³¹	j ɔ̰ p ⁵⁵ + m ɔ ʔ ³¹		expert	Hill2017	LingPy:SCA	
984	ja̱p³¹mɔʔ³¹	458	j a̰ p ³¹ + m ɔ ʔ ³¹	j a̰ p ³¹ + m ɔ ʔ ³¹		expert	Hill2017	LingPy:SCA	
985	in³¹mɔʔ⁵⁵	458	i n ³¹ + m ɔ ʔ ⁵⁵	- i n ³¹ + m ɔ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
5089	a³¹tuŋ⁵⁵	603	a ³¹ + t u ŋ ⁵⁵	a ³¹ - - + t - u ŋ ⁵⁵		expert	Hill2017	LingPy:SCA	
5627	lɛʔ⁴	87	l ɛ ʔ ⁴	l ɛ ʔ ⁴		expert	Hill2017	LingPy:SCA	
5092	tuŋ⁵¹	583	t u ŋ ⁵¹	t - u ŋ ⁵¹		expert	Hill2017	LingPy:SCA	
5094	tauŋ⁵⁵	583	t a u ŋ ⁵⁵	t a u ŋ ⁵⁵		expert	Hill2017	LingPy:SCA	
5098	tuŋ³¹	583	t u ŋ ³¹	t - u ŋ ³¹		expert	Hill2017	LingPy:SCA	
5100	tauŋ³¹	583	t a u ŋ ³¹	t a u ŋ ³¹		expert	Hill2017	LingPy:SCA	
1533	mji²¹	532	m j i ²¹	m j i - ²¹		expert	Hill2017	LingPy:SCA	
5108	sut⁵⁵	347	s u t ⁵⁵	s u t ⁵⁵		expert	Hill2017	LingPy:SCA	
1534	məi³¹	532	m ə i ³¹	m - ə i ³¹		expert	Hill2017	LingPy:SCA	
5111	sut⁵⁵	347	s u t ⁵⁵	s u t ⁵⁵		expert	Hill2017	LingPy:SCA	
5113	sɔt⁵⁵	347	s ɔ t ⁵⁵	s ɔ t ⁵⁵		expert	Hill2017	LingPy:SCA	
5116	suːt⁵⁵	347	s uː t ⁵⁵	s uː t ⁵⁵		expert	Hill2017	LingPy:SCA	
5117	sa̱t⁵⁵	347	s a̰ t ⁵⁵	s a̰ t ⁵⁵		expert	Hill2017	LingPy:SCA	
5120	sut⁵⁵	347	s u t ⁵⁵	s u t ⁵⁵		expert	Hill2017	LingPy:SCA	
5127	i³¹ȵɔ³¹	246	i ³¹ + nʲ ɔ ³¹	- i ³¹ + nʲ ɔ ³¹		expert	Hill2017	LingPy:SCA	
5130	mji²¹ve²¹	53	m j i ²¹ + v e ²¹	m j i ²¹ + v e ²¹		expert	Hill2017	LingPy:SCA	
5132	mi³¹ɣɛ³¹	53	m i ³¹ + ɣ ɛ ³¹	m - i ³¹ + ɣ ɛ ³¹		expert	Hill2017	LingPy:SCA	
1037	səʔ⁵⁵	121	s ə ʔ ⁵⁵	s ə ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
5135	mji³³ji³³	648	m j i ³³ + j i ³³	m j i ³³ + j i ³³		expert	Hill2017	LingPy:SCA	
1040	kja̱uʔ⁵⁵	422	k j a̰ u ʔ ⁵⁵	k j a̰ u ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
5138	ji³¹ɲɔ³¹	246	j i ³¹ + ɲ ɔ ³¹	j i ³¹ + ɲ ɔ ³¹		expert	Hill2017	LingPy:SCA	
1043	kju̱ːʔ⁵⁵	422	k j ṵː ʔ ⁵⁵	k j ṵː - ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
1044	fai⁵⁵	632	f a i ⁵⁵	f a i ⁵⁵		expert	Hill2017	LingPy:SCA	
1046	tsui³⁵	319	ts u i ³⁵	ts u i ³⁵		expert	Hill2017	LingPy:SCA	
5148	ʂək⁵⁵	695	ʂ ə k ⁵⁵	ʂ ə k ⁵⁵		expert	Hill2017	LingPy:SCA	
5150	sik⁵⁵tu̱m⁵⁵	1	s i k ⁵⁵ + t ṵ m ⁵⁵	s i k ⁵⁵ + t ṵ m ⁵⁵		expert	Hill2017	LingPy:SCA	
5152	sak⁵⁵ta̱m³⁵	1	s a k ⁵⁵ + t a̰ m ³⁵	s a k ⁵⁵ + t a̰ m ³⁵		expert	Hill2017	LingPy:SCA	
5155	sə̱k⁵⁵tɔ̱m⁵³	1	s ə̰ k ⁵⁵ + t ɔ̰ m ⁵³	s ə̰ k ⁵⁵ + t ɔ̰ m ⁵³		expert	Hill2017	LingPy:SCA	
5156	sak⁵⁵thauŋ³⁵	170	s a k ⁵⁵ + tʰ a u ŋ ³⁵	s a k ⁵⁵ + tʰ a u ŋ ³⁵		expert	Hill2017	LingPy:SCA	
5158	pɛn³¹	234	p ɛ n ³¹	p ɛ n ³¹		expert	Hill2017	LingPy:SCA	
5171	n̥ək⁵⁵	109	n̥ ə k ⁵⁵	n̥ ə k ⁵⁵		expert	Hill2017	LingPy:SCA	
5173	tsan⁵¹	469	ts a n ⁵¹	ts a n ⁵¹		expert	Hill2017	LingPy:SCA	
5175	tɛ̃⁵⁵	469	t ɛ̃ ∼ ⁵⁵	t ɛ̃ ∼ ⁵⁵		expert	Hill2017	LingPy:SCA	
5178	tsan³¹	469	ts a n ³¹	ts a n ³¹		expert	Hill2017	LingPy:SCA	
5179	tsəŋ³¹	469	ts ə ŋ ³¹	ts ə ŋ ³¹		expert	Hill2017	LingPy:SCA	
5180	n̥ɤk⁵⁵	109	n̥ ɤ k ⁵⁵	n̥ ɤ k ⁵⁵		expert	Hill2017	LingPy:SCA	
1089	ȵ̥on⁵⁵mɔk³⁵	582	n̥ʲ o n ⁵⁵ + m ɔ k ³⁵	n̥ʲ o n ⁵⁵ + m ɔ k ³⁵		expert	Hill2017	LingPy:SCA	
1091	phui²¹la̱u⁵¹	211	pʰ u i ²¹ + l a̰ u ⁵¹	pʰ u i ²¹ + l a̰ u - ⁵¹		expert	Hill2017	LingPy:SCA	
1092	phə̆³¹lau⁵⁵	211	pʰ ə̆ ³¹ + l a u ⁵⁵	pʰ ə̆ - ³¹ + l a u - ⁵⁵		expert	Hill2017	LingPy:SCA	
1093	phə̆⁵⁵lo̱u³³	211	pʰ ə̆ ⁵⁵ + l o̰ u ³³	pʰ ə̆ - ⁵⁵ + l o̰ u - ³³		expert	Hill2017	LingPy:SCA	
1094	phɔ̆i³⁵lu̱k³¹	211	pʰ ɔ̆ i ³⁵ + l ṵ k ³¹	pʰ ɔ̆ i ³⁵ + l ṵ - k ³¹		expert	Hill2017	LingPy:SCA	
9057	a³¹◦fu̱ʔ⁵⁵	202	a ³¹ + f ṵ ʔ ⁵⁵	a ³¹ + f ṵ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
1097	ni³¹tʂhua³¹	633	n i ³¹ + ʈʂʰ u a ³¹	n i ³¹ + ʈʂʰ u a ³¹		expert	Hill2017	LingPy:SCA	
2231	n̥ɔŋ³⁵	414	n̥ ɔ ŋ ³⁵	n̥ ɔ ŋ ³⁵		expert	Hill2017	LingPy:SCA	
1100	nŏ²¹phjo²¹	316	n ŏ ²¹ + pʰ j o ²¹	n ŏ ²¹ + pʰ j o ²¹		expert	Hill2017	LingPy:SCA	
1103	nə̆³¹khj⁵⁵	394	n ə̆ ³¹ + kʰ j ɛ ʔ ⁵⁵	n ə̆ ³¹ + kʰ j ɛ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
5202	ləŋ³⁵	78	l ə ŋ ³⁵	l ə ŋ ³⁵		expert	Hill2017	LingPy:SCA	
1108	nə̆³³khjap⁵⁵	394	n ə̆ ³³ + kʰ j a p ⁵⁵	n ə̆ ³³ + kʰ j a p ⁵⁵		expert	Hill2017	LingPy:SCA	
5205	ŋju̱ŋ⁵⁵	382	ŋ j ṵ ŋ ⁵⁵	ŋ j ṵ ŋ ⁵⁵		expert	Hill2017	LingPy:SCA	
