Word_ID	Form	Cognate_set_ID	Segments	Alignment	Doubt	Cognate_detection_method	Cognate_source	Alignment_method	Alignment_source
4223	ʃŏ²¹mji²¹	519	ʃ ŏ ²¹ + m j i ²¹	ʃ ŏ ²¹ - + m j i ²¹		expert	Hill2017	LingPy:SCA	
129	tɕa⁵⁵	256	tɕ a ⁵⁵	tɕ a ⁵⁵		expert	Hill2017	LingPy:SCA	
4226	ʃă³⁵mi³¹	519	ʃ ă ³⁵ + m i ³¹	ʃ ă ³⁵ - + m i ³¹		expert	Hill2017	LingPy:SCA	
131	then²¹	54	tʰ e n ²¹	tʰ e n ²¹		expert	Hill2017	LingPy:SCA	
132	a³¹kai⁵⁵	515	a ³¹ + k a i ⁵⁵	a ³¹ + k a i ⁵⁵		expert	Hill2017	LingPy:SCA	
22	tɕhi⁵⁵man⁵⁵	708	tɕʰ i ⁵⁵ + m a n ⁵⁵	tɕʰ i - ⁵⁵ + m a n ⁵⁵		expert	Hill2017	LingPy:SCA	
135	pjɔːʔ³¹	482	p j ɔː ʔ ³¹	p j ɔː ʔ ³¹		expert	Hill2017	LingPy:SCA	
136	kɔi³⁵	212	k ɔ i ³⁵	k ɔ i ³⁵		expert	Hill2017	LingPy:SCA	
137	n³¹cɛ⁵⁵	341	n ³¹ + c ɛ ⁵⁵	n ³¹ + c ɛ ⁵⁵		expert	Hill2017	LingPy:SCA	
4234	ʃɔ̆³⁵mji³¹	519	ʃ ɔ̆ ³⁵ + m j i ³¹	ʃ ɔ̆ ³⁵ - + m j i ³¹		expert	Hill2017	LingPy:SCA	
4237	n̥i³¹tʂhɔ³¹	433	n̥ i ³¹ + ʈʂʰ ɔ ³¹	n̥ i ³¹ + ʈʂʰ ɔ ³¹		expert	Hill2017	LingPy:SCA	
143	va²¹	723	v a ²¹	v a ²¹		expert	Hill2017	LingPy:SCA	
144	va³¹	723	v a ³¹	v a ³¹		expert	Hill2017	LingPy:SCA	
4242	m̥ʐaŋ⁵⁵	181	m̥ ʐ a ŋ ⁵⁵	m̥ ʐ a ŋ ⁵⁵		expert	Hill2017	LingPy:SCA	
147	wo³³	723	w o ³³	w o ³³		expert	Hill2017	LingPy:SCA	
