ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
4620,4620,477,,,
526,526,158,,,
528,528,158,,,
529,529,158,,,
532,532,158,,,
533,533,158,,,
4630,4630,477,,,
8730,8730,0,,,
8731,8731,0,,,
4639,4639,479,,,
545,545,1139,,,
4642,4642,479,,,
4644,4644,479,,,
4647,4647,479,,,
4648,4648,479,,,
4650,4650,479,,,
573,573,610,,,
574,574,610,,,
575,575,614,,,
577,577,614,,,
578,578,614,,,
579,579,614,,,
1462,1462,209,,,
5559,5559,579,,,
1464,1464,209,,,
596,596,619,,,
598,598,619,,,
599,599,619,,,
602,602,619,,,
603,603,619,,,
604,604,619,,,
4702,4702,1048,,,
4704,4704,1048,,,
4706,4706,1048,,,
4707,4707,1048,,,
4709,4709,1049,,,
7249,7249,0,,,
4713,4713,1051,,,
4716,4716,1051,,,
4718,4718,1051,,,
4721,4721,1051,,,
4722,4722,1051,,,
627,627,162,,,
4724,4724,1051,,,
629,629,162,,,
630,630,162,,,
633,633,162,,,
634,634,162,,,
1471,1471,731,,,
660,660,222,,,
7387,7387,0,,,
663,663,1141,,,
664,664,166,,,
1476,1476,731,,,
666,666,166,,,
667,667,166,,,
668,668,222,,,
672,672,169,,,
674,674,169,,,
675,675,169,,,
676,676,214,,,
677,677,169,,,
678,678,169,,,
4780,4780,1034,,,
686,686,1144,,,
4783,4783,1034,,,
689,689,621,,,
691,691,621,,,
4788,4788,1034,,,
4790,4790,407,,,
695,695,621,,,
4793,4793,1034,,,
2069,2069,791,,,
8894,8894,0,,,
4801,4801,1037,,,
4803,4803,1037,,,
4805,4805,1037,,,
4806,4806,1037,,,
4808,4808,1037,,,
5017,5017,1094,,,
1486,1486,210,,,
1487,1487,210,,,
738,738,634,,,
740,740,632,,,
741,741,632,,,
743,743,632,,,
744,744,632,,,
745,745,634,,,
4865,4865,486,,,
4868,4868,409,,,
4871,4871,409,,,
4875,4875,409,,,
4877,4877,409,,,
4879,4879,486,,,
3033,3033,374,,,
4894,4894,1065,,,
4895,4895,1065,,,
4896,4896,1065,,,
4897,4897,1065,,,
4898,4898,1065,,,
4899,4899,1065,,,
4231,4231,465,,,
6280,6280,3,,,
4237,4237,465,,,
4951,4951,1075,,,
4953,4953,1071,,,
4954,4954,1071,,,
2191,2191,798,,,
4957,4957,1071,,,
4958,4958,1071,,,
4959,4959,1071,,,
2192,2192,798,,,
4963,4963,424,,,
4966,4966,424,,,
4968,4968,424,,,
4970,4970,424,,,
4971,4971,424,,,
4973,4973,424,,,
1512,1512,217,,,
3561,3561,922,,,
888,888,670,,,
4244,4244,69,,,
4987,4987,1083,,,
4989,4989,1083,,,
149,149,101,,,
896,896,670,,,
898,898,670,,,
4998,4998,1086,,,
5000,5000,1086,,,
5001,5001,1086,,,
5004,5004,1086,,,
5005,5005,1086,,,
5006,5006,1086,,,
913,913,676,,,
917,917,675,,,
5014,5014,1088,,,
920,920,675,,,
921,921,675,,,
5019,5019,1087,,,
2202,2202,269,,,
5022,5022,1093,,,
5023,5023,1087,,,
5025,5025,1088,,,
6299,6299,71,,,
936,936,245,,,
938,938,226,,,
940,940,260,,,
942,942,302,,,
943,943,260,,,
944,944,245,,,
5049,5049,492,,,
6303,6303,189,,,
5052,5052,491,,,
957,957,171,,,
5054,5054,491,,,
961,961,171,,,
5058,5058,491,,,
964,964,1152,,,
9161,9161,610,,,
5066,5066,495,,,
5069,5069,495,,,
5071,5071,495,,,
5074,5074,495,,,
5075,5075,495,,,
980,980,1153,,,
5077,5077,495,,,
982,982,1153,,,
983,983,1153,,,
984,984,1153,,,
985,985,1153,,,
5089,5089,500,,,
5627,5627,238,,,
5092,5092,500,,,
5094,5094,500,,,
5098,5098,500,,,
5100,5100,500,,,
5629,5629,345,,,
5108,5108,1046,,,
1534,1534,554,,,
5111,5111,1046,,,
5113,5113,1046,,,
5116,5116,1046,,,
5117,5117,1046,,,
5120,5120,1046,,,
5127,5127,503,,,
5130,5130,501,,,
5132,5132,501,,,
1037,1037,402,,,
1039,1039,329,,,
1040,1040,329,,,
5138,5138,503,,,
1043,1043,329,,,
1044,1044,329,,,
1046,1046,415,,,
5148,5148,506,,,
5150,5150,506,,,
5152,5152,506,,,
5155,5155,506,,,
5156,5156,506,,,
5158,5158,507,,,
5171,5171,513,,,
5173,5173,33,,,
5175,5175,33,,,
5178,5178,33,,,
5179,5179,33,,,
5180,5180,513,,,
1089,1089,176,,,
1091,1091,175,,,
1092,1092,175,,,
1093,1093,175,,,
1094,1094,175,,,
9057,9057,0,,,
1097,1097,1158,,,
2231,2231,271,,,
1100,1100,1158,,,
1103,1103,1158,,,
5202,5202,1102,,,
1108,1108,1158,,,
5205,5205,1103,,,
5207,5207,1101,,,
5208,5208,1101,,,
5209,5209,1102,,,
2189,2189,798,,,
5220,5220,1105,,,
1125,1125,700,,,
5222,5222,1105,,,
5223,5223,1105,,,
1129,1129,700,,,
5226,5226,1105,,,
5228,5228,1105,,,
5229,5229,1105,,,
5230,5230,1105,,,
5231,5231,1105,,,
5232,5232,1105,,,
5233,5233,1105,,,
1538,1538,1166,,,
5651,5651,228,,,
1140,1140,1159,,,
6334,6334,72,,,
7403,7403,0,,,
1144,1144,1159,,,
5246,5246,596,,,
1557,1557,221,,,
1152,1152,439,,,
5249,5249,1048,,,
5250,5250,1167,,,
5251,5251,14,,,
1156,1156,439,,,
1157,1157,439,,,
1158,1158,439,,,
5255,5255,1153,,,
5257,5257,359,,,
5258,5258,1164,,,
5262,5262,5,,,
5264,5264,1035,,,
6339,6339,66,,,
5268,5268,1101,,,
5269,5269,998,,,
5271,5271,465,,,
5272,5272,473,,,
1177,1177,1160,,,
5276,5276,166,,,
5277,5277,87,,,
1184,1184,1160,,,
5281,5281,379,,,
5282,5282,409,,,
5284,5284,1185,,,
5287,5287,462,,,
5290,5290,70,,,
5292,5292,17,,,
5294,5294,1182,,,
5297,5297,323,,,
5298,5298,335,,,
5299,5299,208,,,
5300,5300,1125,,,
5301,5301,205,,,
5308,5308,31,,,
5310,5310,1175,,,
5311,5311,1175,,,
5316,5316,35,,,
