ID	gloss	conceptset	concepticon_gloss
bed-175	the sickle	341	SICKLE
bed-176	to sing	1261	SING
bed-177	six	1703	SIX
bed-178	the skin	763	SKIN
bed-179	the sky	1732	SKY
bed-180	to sleep	1585	SLEEP
bed-181	small	1246	SMALL
bed-182	to smell (perceive odor) [transitive]	1586	SMELL (PERCEIVE)
bed-183	the smoke	778	SMOKE (EXHAUST)
bed-184	smooth	1234	SMOOTH
bed-185	the snake	730	SNAKE
bed-186	the snow	784	SNOW
bed-187	soft	1856	SOFT
bed-188	the son	1620	SON
bed-189	the sparrow	1854	SPARROW
bed-190	the spider	843	SPIDER
bed-191	to spit	1440	SPIT
bed-192	to stand	1442	STAND
bed-193	the star	1430	STAR
bed-194	to steal	713	STEAL
bed-195	the stick	1295	STICK
bed-196	the stone (a piece of)	857	STONE
bed-197	straight	1404	STRAIGHT
bed-198	the sun	1343	SUN
bed-199	the tail	1220	TAIL
bed-200	ten	1515	TEN
bed-201	that	78	THAT
bed-202	there	1937	THERE
bed-203	thick	1244	THICK
bed-204	the thigh	800	THIGH
bed-205	to think (reflect)	1415	THINK (REFLECT)
bed-206	this	1214	THIS
bed-207	thou [second person singular]	1215	THOU
bed-208	three	492	THREE
bed-209	to throw	1456	THROW
bed-210	the thunder	1150	THUNDER
bed-211	the tiger	846	TIGER
bed-212	today	1283	TODAY
bed-213	tomorrow	1329	TOMORROW
bed-214	the tongue	1205	TONGUE
bed-215	the tooth (front)	1380	TOOTH
bed-216	the tree	906	TREE
bed-217	twenty	1710	TWENTY
bed-218	two	1498	TWO
bed-219	to vomit	1278	VOMIT
bed-220	to walk	1443	WALK
bed-221	the water	948	WATER
bed-222	we [first person plural inclusive]	1131	WE (INCLUSIVE)
bed-223	wet	1726	WET
bed-224	what	1236	WHAT
bed-225	the wheat	1077	WHEAT
bed-226	where	1237	WHERE
bed-227	white	1335	WHITE
bed-228	who	1235	WHO
bed-229	the wife	1199	WIFE
bed-230	the wind	960	WIND
bed-231	the wing	1257	WING
bed-232	to wipe	1454	WIPE
bed-233	the wolf	522	WOLF
bed-234	the woman	962	WOMAN
bed-235	the wood (material)	1803	WOOD
bed-236	the year	1226	YEAR
bed-237	yellow	1424	YELLOW
bed-238	yesterday	1174	YESTERDAY
bed-239	you [second person plural]	1213	YOU
bed-240	young	1207	YOUNG
