ID	Language_name	Language_ID	Parameter_name	Parameter_ID	Value	Form	Segments	Motivation_structure	Source	Comment
697	Xiandao	xian1249	to come	1446	lɔ⁵⁵  | 1491.29	lɔ⁵⁵	l ɔ ⁵⁵	come	Huang1992,Matisoff2015	
2063	Achang_Longchuan	long1373	to hunt	1435	tɕhet⁵⁵ tauʔ⁵⁵  | 1230.28	tɕhet⁵⁵tauʔ⁵⁵	tɕʰ e t ⁵⁵ + t a u ʔ ⁵⁵	deer hunt-suffix	Huang1992,Matisoff2015	
2065	Atsi	zaiw1240	to hunt	1435	ʃŏ²¹ pik²¹  | 1230.30	ʃŏ²¹pik²¹	ʃ ŏ ²¹ + p i k ²¹	meat shoot	Huang1992,Matisoff2015	
2066	Bola	pela1242	to hunt	1435	ʃă³⁵ pak³¹  | 1230.32	ʃă³⁵pak³¹	ʃ ă ³⁵ + p a k ³¹	meat shoot	Huang1992,Matisoff2015	
4798	Achang_Longchuan	long1373	to walk	1443	so³¹  | 1815.28	so³¹	s o ³¹	go	Huang1992,Matisoff2015	
2068	Lashi	lash1242	to hunt	1435	ʃo⁵⁵ pəː³¹  | 1230.33	ʃo⁵⁵pəː³¹	ʃ o ⁵⁵ + p əː ³¹	meat shoot	Huang1992,Matisoff2015	
4220	Achang_Longchuan	long1373	the tail	1220	tɕhi³¹ ȵaŋ³⁵  | 0267.28	tɕhi³¹ȵaŋ³⁵	tɕʰ i ³¹ + nʲ a ŋ ³⁵	excrement tail	Huang1992,Matisoff2015	
4223	Atsi	zaiw1240	the tail	1220	ʃŏ²¹ mji²¹  | 0267.30	ʃŏ²¹mji²¹	ʃ ŏ ²¹ + m j i ²¹	meat tail	Huang1992,Matisoff2015	
129	Achang_Longchuan	long1373	bad	1292	tɕa⁵⁵  | 1053.28	tɕa⁵⁵	tɕ a ⁵⁵	bad	Huang1992,Matisoff2015	
4226	Bola	pela1242	the tail	1220	ʃă³⁵ mi³¹  | 0267.32	ʃă³⁵mi³¹	ʃ ă ³⁵ + m i ³¹	meat tail	Huang1992,Matisoff2015	
131	Atsi	zaiw1240	bad	1292	then²¹  | 1053.30	then²¹	tʰ e n ²¹	bad	Huang1992,Matisoff2015	
132	Bola	pela1242	bad	1292	a³¹ kai⁵⁵  | 1053.32	a³¹kai⁵⁵	a ³¹ + k a i ⁵⁵	not good	Huang1992,Matisoff2015	
22	Achang_Longchuan	long1373	the ant	587	tɕhi⁵⁵ man⁵⁵  | 0365.28	tɕhi⁵⁵man⁵⁵	tɕʰ i ⁵⁵ + m a n ⁵⁵	? ?	Huang1992,Matisoff2015	
