ID	Language_name	Language_ID	Parameter_name	Parameter_ID	Value	Form	Segments	Motivation_structure	Source	Comment
5223	Bola	pela1242	you [second person plural]	1213	nauŋ³¹ maʔ³¹  | 0933.32	nauŋ³¹maʔ³¹	n a u ŋ ³¹ + m a ʔ ³¹	thou ma-suffix	Huang1992,Matisoff2015	bad concept
1129	Lashi	lash1242	to eat	1336	tsɔː³³  | 1198.33	tsɔː³³	ts ɔː ³³	eat	Huang1992,Matisoff2015	
5226	Maru	maru1249	you [second person plural]	1213	nɔ̃̆³¹ na̱uŋ⁵⁵  | 0933.31	nɔ̃̆³¹na̱uŋ⁵⁵	n ɔ̃̆ ∼ ³¹ + n a̰ u ŋ ⁵⁵	thou plural	Huang1992,Matisoff2015	bad concept
5228	Xiandao	xian1249	you [second person plural]	1213	nɔŋ⁵⁵ tu³⁵  | 0933.29	nɔŋ⁵⁵tu³⁵	n ɔ ŋ ⁵⁵ + t u ³⁵	thou plural	Huang1992,Matisoff2015	bad concept
5229	Achang_Longchuan	long1373	thou [second person singular]	1215	nuaŋ⁵⁵  | 0931.28	nuaŋ⁵⁵	n u a ŋ ⁵⁵	thou	Huang1992,Matisoff2015	bad concept
5230	Atsi	zaiw1240	thou [second person singular]	1215	naŋ⁵¹  | 0931.30	naŋ⁵¹	n a ŋ ⁵¹		Huang1992,Matisoff2015	bad concept
5231	Bola	pela1242	thou [second person singular]	1215	nɔ̃⁵⁵  | 0931.32	nɔ̃⁵⁵	n ɔ̃ ∼ ⁵⁵	thou	Huang1992,Matisoff2015	bad concept
5232	Lashi	lash1242	thou [second person singular]	1215	naŋ³¹  | 0931.33	naŋ³¹	n a ŋ ³¹		Huang1992,Matisoff2015	bad concept
5233	Maru	maru1249	thou [second person singular]	1215	nɔ̃³¹  | 0931.31	nɔ̃³¹	n ɔ̃ ∼ ³¹		Huang1992,Matisoff2015	bad concept
1538	Maru	maru1249	four	1500	pjik³¹  | 0800.31	pjik³¹	p j i k ³¹	four	Huang1992,Matisoff2015	
5651	Rangoon	nucl1310	the grass	606		mjɛʔ⁴	m j ɛ ʔ ⁴		Huang1992,Matisoff2015	
1140	Bola	pela1242	the egg	744	u̱³⁵  | 0450.32	u̱³⁵	ṵ ³⁵	egg	Huang1992,Matisoff2015	
6334	Rangoon	nucl1310	horizontal	2376	kɑ̃⁵³lɑ̃⁵³	kɑ̃⁵³lɑ̃⁵³	k ɑ̃ ∼ ⁵³ + l ɑ̃ ∼ ⁵³	horizontal1 horizontal2	Huang1992,Matisoff2015	
7403	Old_Burmese	oldb1235	the thigh	800		po₂ṅ	p ʊ ŋ		Okell1971,Luce1985,Nishi1999	
1144	Maru	maru1249	the egg	744	a̱u⁵⁵  | 0450.31	a̱u⁵⁵	a̰ u ⁵⁵	egg	Huang1992,Matisoff2015	
5246	Rangoon	nucl1310	to bite	1403		kɑiʔ⁴	k ɑ i ʔ ⁴	bite	Huang1992,Matisoff2015	
1557	Atsi	zaiw1240	the frog	503	pŏ̱²¹ kje̱k⁵⁵  | 0349.30	pŏ̱²¹kje̱k⁵⁵	p ŏ̰ ²¹ + k j ḛ k ⁵⁵	frog ?	Huang1992,Matisoff2015	
1152	Atsi	zaiw1240	eight	1705	ʃit⁵⁵  | 0804.30	ʃit⁵⁵	ʃ i t ⁵⁵	eight	Huang1992,Matisoff2015	
5249	Rangoon	nucl1310	twenty	1710		hniʔ⁴shɛ²²	n̥ i ʔ ⁴ + sʰ ɛ ²²	two ten	Huang1992,Matisoff2015	
5250	Rangoon	nucl1310	to give	1447		pe⁵⁵	p e ⁵⁵		Huang1992,Matisoff2015	
5251	Rangoon	nucl1310	correct (right)	1725		m̥ɑ̃²²	m̥ ɑ̃ ∼ ²²	correct	Huang1992,Matisoff2015	
1156	Lashi	lash1242	eight	1705	ʃɛ̱t⁵⁵  | 0804.33	ʃɛ̱t⁵⁵	ʃ ɛ̰ t ⁵⁵	eight	Huang1992,Matisoff2015	
1157	Maru	maru1249	eight	1705	ʃɛʔ⁵⁵  | 0804.31	ʃɛʔ⁵⁵	ʃ ɛ ʔ ⁵⁵	eight	Huang1992,Matisoff2015	
1158	Xiandao	xian1249	eight	1705	çɛʈ⁵⁵  | 0804.29	çɛʈ⁵⁵	ç ɛ ʈ ⁵⁵	eight	Huang1992,Matisoff2015	
5255	Rangoon	nucl1310	the dream	2374		eʔ⁴mɛʔ⁴	e ʔ ⁴ + m ɛ ʔ ⁴	sleep dream	Huang1992,Matisoff2015	
5257	Rangoon	nucl1310	the otter	15		pʰjɑ̃²²	pʰ j ɑ̃ ∼ ²²	otter	Huang1992,Matisoff2015	
5258	Rangoon	nucl1310	the forest	420		tɔ⁵⁵	t ɔ ⁵⁵		Huang1992,Matisoff2015	
5262	Rangoon	nucl1310	to fight	1423		jɑ̃²²pʰjiʔ⁴	j ɑ̃ ∼ ²² + pʰ j i ʔ ⁴	fight-1 fight-2	Huang1992,Matisoff2015	bad concept
5264	Rangoon	nucl1310	to vomit	1278		ɑ̃²²	ɑ̃ ∼ ²²		Huang1992,Matisoff2015	
6339	Achang_Longchuan	long1373	the spider	843	kuŋ³¹kai³⁵ʑai⁵⁵	kuŋ³¹kai³⁵ʑai⁵⁵	k u ŋ ³¹ + k a i ³⁵ + ʑ a i ⁵⁵	spider1 spider2 spider3	Huang1992,Matisoff2015	
5268	Rangoon	nucl1310	yellow	1424		wa²²	w a ²²		Huang1992,Matisoff2015	
5269	Rangoon	nucl1310	many	1198		mjɑ⁵⁵	m j ɑ ⁵⁵		Huang1992,Matisoff2015	
5271	Rangoon	nucl1310	the tail	1220		ɑ⁵³mji⁵⁵	ɑ ⁵³ + m j i ⁵⁵		Huang1992,Matisoff2015	
5272	Rangoon	nucl1310	far	1406		we⁵⁵	w e ⁵⁵	far	Huang1992,Matisoff2015	
1177	Bola	pela1242	the eye	1248	mjaʔ³¹ tʃɿ³⁵  | 0079.32	mjaʔ³¹tʃɿ³⁵	m j a ʔ ³¹ + tʃ ɿ ³⁵	eye small-stone-2	Huang1992,Matisoff2015	
5276	Rangoon	nucl1310	the cloud	1489		tẽ²²	t ẽ ∼ ²²		Huang1992,Matisoff2015	
5277	Rangoon	nucl1310	the ant	587		pɑ⁵³jwɛʔ⁴sheʔ⁴	p ɑ ⁵³ + j w ɛ ʔ ⁴ + sʰ e ʔ ⁴		Huang1992,Matisoff2015	
1184	Maru	maru1249	the eye	1248	mjɔʔ³¹ tʃik⁵⁵  | 0079.31	mjɔʔ³¹tʃik⁵⁵	m j ɔ ʔ ³¹ + tʃ i k ⁵⁵	eye stone	Huang1992,Matisoff2015	
5281	Rangoon	nucl1310	the rain	658		mo⁵⁵	m o ⁵⁵		Huang1992,Matisoff2015	bad concept
5282	Rangoon	nucl1310	the water	948		je²²	j e ²²	water	Huang1992,Matisoff2015	
5284	Rangoon	nucl1310	hundred	1634		(tiʔ⁴)◦jɑ²²	t i ʔ ⁴ + j ɑ ²²	one hundred	Huang1992,Matisoff2015	
5287	Rangoon	nucl1310	the sun	1343		ne²²	n e ²²		Huang1992,Matisoff2015	
5290	Rangoon	nucl1310	ten	1515		shɛ²²	sʰ ɛ ²²	ten	Huang1992,Matisoff2015	
5292	Rangoon	nucl1310	to play	1413		kɑ⁵³sɑ⁵³	k ɑ ⁵³ + s ɑ ⁵³		Huang1992,Matisoff2015	
5294	Rangoon	nucl1310	to hold	1448		kɑ̃i²²	k ɑ̃ i ∼ ²²		Huang1992,Matisoff2015	bad concept
5297	Rangoon	nucl1310	the mother	1216		ɑ⁵³me²²	ɑ ⁵³ + m e ²²		Huang1992,Matisoff2015	
5298	Rangoon	nucl1310	the mouth	674		pɑ⁵⁵sɑʔ⁴	p ɑ ⁵⁵ + s ɑ ʔ ⁴		Huang1992,Matisoff2015	
5299	Rangoon	nucl1310	the fish	227		ŋɑ⁵⁵	ŋ ɑ ⁵⁵		Huang1992,Matisoff2015	
5300	Rangoon	nucl1310	old (of person)	2112		o²²	o ²²		Huang1992,Matisoff2015	
5301	Rangoon	nucl1310	the fire	221		mi⁵⁵	m i ⁵⁵	fire	Huang1992,Matisoff2015	
5308	Rangoon	nucl1310	the wife	1199		mɑ⁵³|jɑ⁵⁵	m ɑ ⁵³ + j ɑ ⁵⁵		Huang1992,Matisoff2015	
5310	Rangoon	nucl1310	the head	1256		kʰɑ̃u⁵⁵	kʰ ɑ̃ u ∼ ⁵⁵		Huang1992,Matisoff2015	
5311	Rangoon	nucl1310	the head	1256		gɑ̃u⁵⁵	g ɑ̃ u ∼ ⁵⁵		Huang1992,Matisoff2015	
5316	Rangoon	nucl1310	thou [second person singular]	1215		mĩ⁵⁵	m ĩ ∼ ⁵⁵		Huang1992,Matisoff2015	bad concept
5318	Rangoon	nucl1310	the nail (fingernail or claw)	2128		lɛʔ⁴tθɛ⁵⁵	l ɛ ʔ ⁴ + tθ ɛ ⁵⁵		Huang1992,Matisoff2015	
1569	Achang_Longchuan	long1373	the fruit	1507	ʂə³¹  | 0378.28	ʂə³¹	ʂ ə ³¹	fruit	Huang1992,Matisoff2015	
5322	Rangoon	nucl1310	to see	1409		mjĩ²²	m j ĩ ∼ ²²		Huang1992,Matisoff2015	
5326	Rangoon	nucl1310	the hair (of the head)	1040		shɑ̃²²pĩ²²	sʰ ɑ̃ ∼ ²² + p ĩ ∼ ²²		Huang1992,Matisoff2015	
5327	Rangoon	nucl1310	to flow	2003		si⁵⁵	s i ⁵⁵		Huang1992,Matisoff2015	
1132	Maru	maru1249	to eat	1336	tsɔ³⁵  | 1198.31	tsɔ³⁵	ts ɔ ³⁵	eat	Huang1992,Matisoff2015	
5330	Rangoon	nucl1310	to reside (live)	1099		ne²²	n e ²²		Huang1992,Matisoff2015	
5667	Rangoon	nucl1310	to walk	1443		tθwɑ⁵⁵	tθ w ɑ ⁵⁵		Huang1992,Matisoff2015	
5332	Rangoon	nucl1310	to stand	1442		jɑʔ⁴	j ɑ ʔ ⁴		Huang1992,Matisoff2015	bad concept
2254	Bola	pela1242	to laugh	1355	ɣəi⁵⁵  | 1735.32	ɣəi⁵⁵	ɣ ə i ⁵⁵	laugh-smile	Huang1992,Matisoff2015	
5334	Rangoon	nucl1310	the fruit	1507		ɑ⁵³tθi⁵⁵	ɑ ⁵³ + tθ i ⁵⁵		Huang1992,Matisoff2015	
5337	Rangoon	nucl1310	the nose	1221		n̥ɑ²²kʰɑ̃u⁵⁵	n̥ ɑ ²² + kʰ ɑ̃ u ∼ ⁵⁵		Huang1992,Matisoff2015	
5339	Rangoon	nucl1310	to burn [intransitive]	1428		lɑ̃u²²	l ɑ̃ u ∼ ²²		Huang1992,Matisoff2015	
1244	Bola	pela1242	far	1406	vɛ³¹  | 0974.32	vɛ³¹	v ɛ ³¹	far	Huang1992,Matisoff2015	
5342	Rangoon	nucl1310	smooth	1234		ʨʰɔ⁵⁵	tɕʰ ɔ ⁵⁵		Huang1992,Matisoff2015	
1247	Lashi	lash1242	far	1406	vɛː³³  | 0974.33	vɛː³³	v ɛː ³³	far	Huang1992,Matisoff2015	
1248	Maru	maru1249	far	1406	va³⁵  | 0974.31	va³⁵	v a ³⁵	far	Huang1992,Matisoff2015	
1249	Xiandao	xian1249	far	1406	vɛ³¹  | 0974.29	vɛ³¹	v ɛ ³¹	far	Huang1992,Matisoff2015	
5347	Rangoon	nucl1310	the needle (for sewing)	1382		ɑʔ⁴	ɑ ʔ ⁴		Huang1992,Matisoff2015	
5353	Rangoon	nucl1310	to hear	1408		ʨɑ⁵⁵	tɕ ɑ ⁵⁵		Huang1992,Matisoff2015	
5355	Rangoon	nucl1310	to buy	1869		wɛ²²	w ɛ ²²		Huang1992,Matisoff2015	
893	Lashi	lash1242	to die	1494	ʃeːi³³  | 1651.33	ʃeːi³³	ʃ eː i ³³	die	Huang1992,Matisoff2015	
5360	Rangoon	nucl1310	the snake	730		mwe²²	m w e ²²		Huang1992,Matisoff2015	
5361	Rangoon	nucl1310	thick	1244		tʰu²²	tʰ u ²²		Huang1992,Matisoff2015	
5363	Rangoon	nucl1310	straight	1404		mɑʔ⁴	m ɑ ʔ ⁴		Huang1992,Matisoff2015	bad concept
5365	Rangoon	nucl1310	small	1246		ŋɛ²²	ŋ ɛ ²²		Huang1992,Matisoff2015	
5367	Rangoon	nucl1310	bad	1292		sho⁵⁵	sʰ o ⁵⁵	bad1	Huang1992,Matisoff2015	
5368	Rangoon	nucl1310	bad	1292		ȵɑ̃⁵³	nʲ ɑ̃ ∼ ⁵³	bad2	Huang1992,Matisoff2015	
1273	Achang_Longchuan	long1373	the father	1217	teʔ⁵⁵  | 0218.28	teʔ⁵⁵	t e ʔ ⁵⁵	father	Huang1992,Matisoff2015	
4991	Lashi	lash1242	where	1237	khă³³ mo³³  | 0955.33	khă³³mo³³	kʰ ă ³³ + m o ³³	where on	Huang1992,Matisoff2015	
5372	Rangoon	nucl1310	full	1429		pje⁵³	p j e ⁵³	full	Huang1992,Matisoff2015	
1277	Bola	pela1242	the father	1217	a³¹ va⁵⁵  | 0218.32	a³¹va⁵⁵	a ³¹ + v a ⁵⁵	a-prefix father	Huang1992,Matisoff2015	
1280	Lashi	lash1242	the father	1217	a⁵⁵ pho⁵³  | 0218.33	a⁵⁵pho⁵³	a ⁵⁵ + pʰ o ⁵³	a-prefix father	Huang1992,Matisoff2015	
4992	Maru	maru1249	where	1237	mhə̆³¹ mɛ³¹  | 0955.31	mhə̆³¹mɛ³¹	m̥ ə̆ ³¹ + m ɛ ³¹	where on	Huang1992,Matisoff2015	
1283	Xiandao	xian1249	the father	1217	po³¹  | 0218.29	po³¹	p o ³¹		Huang1992,Matisoff2015	
5381	Rangoon	nucl1310	to wipe	1454		tθoʔ⁴	tθ o ʔ ⁴		Huang1992,Matisoff2015	
5382	Rangoon	nucl1310	you [second person plural]	1213		mĩ⁵⁵◦to⁵³	m ĩ ∼ ⁵⁵ + t o ⁵³		Huang1992,Matisoff2015	bad concept
5386	Rangoon	nucl1310	the flower	239		ɑ⁵³pwĩ⁵³	ɑ ⁵³ + p w ĩ ∼ ⁵³		Huang1992,Matisoff2015	
4994	Xiandao	xian1249	where	1237	xɔ³¹ lɔ³¹  | 0955.29	xɔ³¹lɔ³¹	x ɔ ³¹ + l ɔ ³¹		Huang1992,Matisoff2015	
5677	Rangoon	nucl1310	where	1237		ɑ⁵³◦bɛ²²m̥ɑ²²	ɑ ⁵³ + b ɛ ²² + m̥ ɑ ²²		Huang1992,Matisoff2015	
2498	Maru	maru1249	the man (male human)	2106	jauk³¹ kai³¹  | 0173.31	jauk³¹kai³¹	j a u k ³¹ + k a i ³¹	person good	Huang1992,Matisoff2015	
1298	Achang_Longchuan	long1373	the feather	1201	a³¹ mui³¹  | 0299.28	a³¹mui³¹	a ³¹ + m u i ³¹	a-prefix hair	Huang1992,Matisoff2015	
1299	Atsi	zaiw1240	the feather	1201	ʃŏ²¹ mau⁵⁵  | 0299.30	ʃŏ²¹mau⁵⁵	ʃ ŏ ²¹ + m a u ⁵⁵	meat hair	Huang1992,Matisoff2015	
1301	Bola	pela1242	the feather	1201	a³¹ mau³⁵  | 0299.32	a³¹mau³⁵	a ³¹ + m a u ³⁵	a-prefix feather	Huang1992,Matisoff2015	
5398	Rangoon	nucl1310	sharp	1396		tʰɛʔ⁴	tʰ ɛ ʔ ⁴		Huang1992,Matisoff2015	bad concept
1303	Lashi	lash1242	the feather	1201	sŏ⁵⁵ mou⁵⁵  | 0299.33	sŏ⁵⁵mou⁵⁵	s ŏ ⁵⁵ + m o u ⁵⁵	meat hair	Huang1992,Matisoff2015	
5400	Rangoon	nucl1310	the son	1620		tθɑ⁵⁵	tθ ɑ ⁵⁵		Huang1992,Matisoff2015	
5401	Rangoon	nucl1310	the husband	1200		lĩ²²	l ĩ ∼ ²²		Huang1992,Matisoff2015	
5404	Rangoon	nucl1310	new	1231		tθiʔ⁴	tθ i ʔ ⁴		Huang1992,Matisoff2015	
2266	Achang_Longchuan	long1373	the leaf	2250	a³¹ xʐoʔ⁵⁵  | 0376.28	a³¹xʐoʔ⁵⁵	a ³¹ + x ʐ o ʔ ⁵⁵	a-prefix leaf	Huang1992,Matisoff2015	
5406	Rangoon	nucl1310	the dog	2009		kʰwe⁵⁵	kʰ w e ⁵⁵		Huang1992,Matisoff2015	
5415	Rangoon	nucl1310	we [first person plural inclusive]	1131		ŋɑ²²◦to⁵³	ŋ ɑ ²² + t o ⁵³		Huang1992,Matisoff2015	bad concept
5416	Rangoon	nucl1310	dry	1398		ʨʰɑuʔ⁴	tɕʰ ɑ u ʔ ⁴	dry	Huang1992,Matisoff2015	
6364	Rangoon	nucl1310	right	1019	jɑ²²	jɑ²²	j ɑ ²²		Huang1992,Matisoff2015	
5418	Rangoon	nucl1310	four	1500		le⁵⁵	l e ⁵⁵	four	Huang1992,Matisoff2015	
5419	Rangoon	nucl1310	the leaf	2250		ɑ⁵³jwɛʔ⁴	ɑ ⁵³ + j w ɛ ʔ ⁴		Huang1992,Matisoff2015	
5422	Rangoon	nucl1310	to kill	1417		tθɑʔ⁴	tθ ɑ ʔ ⁴		Huang1992,Matisoff2015	bad concept
2269	Bola	pela1242	the leaf	2250	sak⁵⁵ faʔ⁵⁵  | 0376.32	sak⁵⁵faʔ⁵⁵	s a k ⁵⁵ + f a ʔ ⁵⁵	tree leaf	Huang1992,Matisoff2015	
5424	Rangoon	nucl1310	red	156		ni²²	n i ²²		Huang1992,Matisoff2015	
5425	Rangoon	nucl1310	the lake	624		kɑ̃²²	k ɑ̃ ∼ ²²		Huang1992,Matisoff2015	
5427	Rangoon	nucl1310	the egg	744		û⁵³	u ⁵³		Huang1992,Matisoff2015	
5428	Rangoon	nucl1310	who	1235		mi²²tθu²²	m i ²² + tθ u ²²		Huang1992,Matisoff2015	
5429	Rangoon	nucl1310	who	1235		bɛ²²tθu²²	b ɛ ²² + tθ u ²²		Huang1992,Matisoff2015	
5430	Rangoon	nucl1310	there	1937		tʰo²²◦ɑ⁵³nɑ⁵⁵	tʰ o ²² + ɑ ⁵³ + n ɑ ⁵⁵		Huang1992,Matisoff2015	bad concept
5437	Rangoon	nucl1310	seven	1704		kʰu⁵³n̥iʔ⁴	kʰ u ⁵³ + n̥ i ʔ ⁴	seven-1 seven-2	Huang1992,Matisoff2015	
5438	Rangoon	nucl1310	the sea	1474		pĩ²²lɛ²²	p ĩ ²² + l ɛ ²²		Huang1992,Matisoff2015	
5441	Rangoon	nucl1310	the dust	2		pʰõ²²	pʰ õ ∼ ²²		Huang1992,Matisoff2015	
5447	Rangoon	nucl1310	to pull	1455		shwɛ⁵⁵	sʰ w ɛ ⁵⁵		Huang1992,Matisoff2015	
1352	Achang_Longchuan	long1373	to fight	1423	tek⁵⁵ kɔ³¹  | 1234.28	tek⁵⁵kɔ³¹	t e k ⁵⁵ + k ɔ ³¹		Huang1992,Matisoff2015	bad concept
5451	Rangoon	nucl1310	to die	1494		tθe²²	tθ e ²²		Huang1992,Matisoff2015	
5452	Rangoon	nucl1310	the smoke	778		mi⁵⁵kʰo⁵⁵	m i ⁵⁵ + kʰ o ⁵⁵	fire smoke	Huang1992,Matisoff2015	
5453	Rangoon	nucl1310	three	492		tθõ⁵⁵	tθ õ ∼ ⁵⁵		Huang1992,Matisoff2015	
5457	Rangoon	nucl1310	the meat	634		ɑ⁵³tθɑ⁵⁵	ɑ ⁵³ + tθ ɑ ⁵⁵		Huang1992,Matisoff2015	
5459	Rangoon	nucl1310	dirty	1230		ȵiʔ⁴pɑʔ⁴	nʲ i ʔ ⁴ + p ɑ ʔ ⁴	dirty1 dirty2	Huang1992,Matisoff2015	
1364	Bola	pela1242	to fight	1423	pɛʔ³¹ la̱m³⁵  | 1234.32	pɛʔ³¹la̱m³⁵	p ɛ ʔ ³¹ + l a̰ m ³⁵		Huang1992,Matisoff2015	bad concept
1365	Lashi	lash1242	to fight	1423	pat³¹ kɔ⁵⁵  | 1234.33	pat³¹kɔ⁵⁵	p a t ³¹ + k ɔ ⁵⁵	fight1 fight2	Huang1992,Matisoff2015	bad concept
1366	Maru	maru1249	to fight	1423	pɛʔ³¹ la̱m³¹  | 1234.31	pɛʔ³¹la̱m³¹	p ɛ ʔ ³¹ + l a̰ m ³¹	fight1 fight2	Huang1992,Matisoff2015	bad concept
5466	Rangoon	nucl1310	the horse	615		mjĩ⁵⁵	m j ĩ ⁵⁵		Huang1992,Matisoff2015	
5469	Rangoon	nucl1310	the wind	960		le²²	l e ²²		Huang1992,Matisoff2015	
5470	Rangoon	nucl1310	to hunt	1435		ɑ⁵³mɛ⁵⁵lɑiʔ⁴	ɑ ⁵³ + m ɛ ⁵⁵ + l ɑ i ʔ ⁴		Huang1992,Matisoff2015	
5472	Rangoon	nucl1310	the wood (material)	1803		tθiʔ⁴tõ⁵⁵	tθ i ʔ ⁴ + t õ ∼ ⁵⁵		Huang1992,Matisoff2015	
5476	Rangoon	nucl1310	the wing	1257		tɑ̃u²²pɑ̃²²	t ɑ̃ u ∼ ²² + p ɑ̃ ∼ ²²		Huang1992,Matisoff2015	
5478	Rangoon	nucl1310	to throw	1456		piʔ⁴	p i ʔ ⁴		Huang1992,Matisoff2015	bad concept
5482	Rangoon	nucl1310	light (of weight)	1052		pɔ⁵³	p ɔ ⁵³		Huang1992,Matisoff2015	
5483	Rangoon	nucl1310	to laugh	1355		ji²²	j i ²²		Huang1992,Matisoff2015	
5489	Rangoon	nucl1310	the knee	1371		du⁵⁵	d u ⁵⁵		Huang1992,Matisoff2015	
1394	Achang_Longchuan	long1373	the fire	221	poi³¹  | 0018.28	poi³¹	p o i ³¹	fire	Huang1992,Matisoff2015	
5491	Rangoon	nucl1310	here	136		i²²◦twĩ²²	i ²² + t w ĩ ∼ ²²	this2 on	Huang1992,Matisoff2015	bad concept
1396	Atsi	zaiw1240	the fire	221	mji²¹  | 0018.30	mji²¹	m j i ²¹	fire	Huang1992,Matisoff2015	
1397	Bola	pela1242	the fire	221	mi³¹  | 0018.32	mi³¹	m i ³¹	fire	Huang1992,Matisoff2015	
5494	Rangoon	nucl1310	the eye	1248		mjɛʔ⁴si⁵³	m j ɛ ʔ ⁴ + s i ⁵³		Huang1992,Matisoff2015	
1400	Lashi	lash1242	the fire	221	mji³³  | 0018.33	mji³³	m j i ³³	fire	Huang1992,Matisoff2015	
1401	Maru	maru1249	the fire	221	mji³⁵  | 0018.31	mji³⁵	m j i ³⁵	fire	Huang1992,Matisoff2015	
1402	Xiandao	xian1249	the fire	221	n̩⁵⁵ pui³¹  | 0018.29	n̩⁵⁵pui³¹	n̩ ⁵⁵ + p u i ³¹	fire-1 fire-2	Huang1992,Matisoff2015	
1403	Xiandao	xian1249	the fire	221	n̩⁵⁵ pui³¹  | 0018.29	n̩⁵⁵pui³¹	n̩ ⁵⁵ + p u i ³¹	fire-1 fire-2	Huang1992,Matisoff2015	
5500	Rangoon	nucl1310	to blow (of wind)	175		n̥ɑʔ⁴ȵiʔ⁴	n̥ ɑ ʔ ⁴ + nʲ i ʔ ⁴		Huang1992,Matisoff2015	
5502	Rangoon	nucl1310	good	1035		kɑ̃u⁵⁵	k ɑ̃ u ∼ ⁵⁵	good	Huang1992,Matisoff2015	
1407	Achang_Longchuan	long1373	the fish	227	ŋa³¹ ʂua³¹  | 0351.28	ŋa³¹ʂua³¹	ŋ a ³¹ + ʂ u a ³¹	fish meat	Huang1992,Matisoff2015	
5505	Rangoon	nucl1310	the tree	906		tθiʔ⁴pĩ²²	tθ i ʔ ⁴ + p ĩ ∼ ²²		Huang1992,Matisoff2015	
5506	Rangoon	nucl1310	the sand	671		tθɛ⁵⁵	tθ ɛ ⁵⁵		Huang1992,Matisoff2015	
1411	Bola	pela1242	the fish	227	ŋə̆³¹ ta³¹  | 0351.32	ŋə̆³¹ta³¹	ŋ ə̆ ³¹ + t a ³¹	fish eat	Huang1992,Matisoff2015	
918	Maru	maru1249	to dig	1418	tau³⁵  | 1698.31	tau³⁵	t a u ³⁵	dig	Huang1992,Matisoff2015	bad concept
1414	Lashi	lash1242	the fish	227	ŋə̆³¹ tso³³  | 0351.33	ŋə̆³¹tso³³	ŋ ə̆ ³¹ + ts o ³³	fish food?	Huang1992,Matisoff2015	
1415	Maru	maru1249	the fish	227	ŋə̆³¹ tsɔ³¹  | 0351.31	ŋə̆³¹tsɔ³¹	ŋ ə̆ ³¹ + ts ɔ ³¹	fish1 food	Huang1992,Matisoff2015	
5512	Rangoon	nucl1310	what	1236		ɑ⁵³bɛ²²	ɑ ⁵³ + b ɛ ²²		Huang1992,Matisoff2015	
1417	Xiandao	xian1249	the fish	227	ŋ̊ɔ̆³¹ ʂɔ³¹  | 0351.29	ŋ̊ɔ̆³¹ʂɔ³¹	ŋ̊ ɔ̆ ³¹ + ʂ ɔ ³¹	fish meat	Huang1992,Matisoff2015	
5514	Rangoon	nucl1310	to think (reflect)	1415		twe⁵⁵	t w e ⁵⁵		Huang1992,Matisoff2015	
5516	Rangoon	nucl1310	to dig	1418		tu⁵⁵	t u ⁵⁵		Huang1992,Matisoff2015	bad concept
5517	Rangoon	nucl1310	to lie down	215		tõ⁵⁵lõ⁵⁵ɬɛ⁵⁵	t õ ∼ ⁵⁵ + l õ ∼ ⁵⁵ + ɬ ɛ ⁵⁵		Huang1992,Matisoff2015	
5518	Rangoon	nucl1310	the bamboo	1927		wɑ⁵⁵	w ɑ ⁵⁵		Huang1992,Matisoff2015	
1423	Atsi	zaiw1240	five	493	ŋo²¹  | 0801.30	ŋo²¹	ŋ o ²¹	five	Huang1992,Matisoff2015	
1424	Bola	pela1242	five	493	ŋa³¹  | 0801.32	ŋa³¹	ŋ a ³¹	five	Huang1992,Matisoff2015	
5522	Rangoon	nucl1310	to count	1420		je²²	j e ²²	count	Huang1992,Matisoff2015	
1427	Lashi	lash1242	five	493	ŋ³³  | 0801.33	ŋ³³	ŋ ³³	five	Huang1992,Matisoff2015	
1428	Maru	maru1249	five	493	ŋɔ⁵⁵  | 0801.31	ŋɔ⁵⁵	ŋ ɔ ⁵⁵	five	Huang1992,Matisoff2015	
1429	Xiandao	xian1249	five	493	ŋɔ³¹  | 0801.29	ŋɔ³¹	ŋ ɔ ³¹	five	Huang1992,Matisoff2015	
5527	Rangoon	nucl1310	the father	1217		ɑ⁵³pʰe²²	ɑ ⁵³ + pʰ e ²²		Huang1992,Matisoff2015	
5528	Rangoon	nucl1310	black	163		nɛʔ⁴	n ɛ ʔ ⁴	black	Huang1992,Matisoff2015	
1433	Achang_Longchuan	long1373	to float	1574	ȵə³¹  | 1553.28	ȵə³¹	nʲ ə ³¹		Huang1992,Matisoff2015	
5530	Rangoon	nucl1310	the name	1405		nɑ²²mɛ²²	n ɑ ²² + m ɛ ²²		Huang1992,Matisoff2015	bad concept
1435	Atsi	zaiw1240	to float	1574	mju²¹  | 1553.30	mju²¹	m j u ²¹	float	Huang1992,Matisoff2015	
1437	Bola	pela1242	to float	1574	mjuŋ³¹  | 1553.32	mjuŋ³¹	m j u ŋ ³¹	float	Huang1992,Matisoff2015	
5534	Rangoon	nucl1310	white	1335		pʰju²²	pʰ j u ²²		Huang1992,Matisoff2015	
1439	Lashi	lash1242	to float	1574	kjaːm⁵⁵  | 1553.33	kjaːm⁵⁵	k j aː m ⁵⁵		Huang1992,Matisoff2015	
5536	Rangoon	nucl1310	the pig	1337		wɛʔ⁴	w ɛ ʔ ⁴		Huang1992,Matisoff2015	
5537	Rangoon	nucl1310	straight	1404		pʰjɑ̃u⁵³	pʰ j ɑ̃ u ∼ ⁵³		Huang1992,Matisoff2015	bad concept
5541	Rangoon	nucl1310	to spit	1440		tʰwe⁵⁵	tʰ w e ⁵⁵		Huang1992,Matisoff2015	
