ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,form_in_source
4220,achanglongchuan,1220,tɕhi³¹ȵaŋ³⁵,tɕʰ i ³¹ + nʲ a ŋ ³⁵,,,
4223,atsi,1220,ʃŏ²¹mji²¹,ʃ ŏ ²¹ + m j i ²¹,,,
129,achanglongchuan,1292,tɕa⁵⁵,tɕ a ⁵⁵,,,
4226,bola,1220,ʃă³⁵mi³¹,ʃ ă ³⁵ + m i ³¹,,,
131,atsi,1292,then²¹,tʰ e n ²¹,,,
132,bola,1292,a³¹kai⁵⁵,a ³¹ + k a i ⁵⁵,,,
22,achanglongchuan,587,tɕhi⁵⁵man⁵⁵,tɕʰ i ⁵⁵ + m a n ⁵⁵,,,
135,lashi,1292,pjɔːʔ³¹,p j ɔː ʔ ³¹,,,
136,maru,1292,kɔi³⁵,k ɔ i ³⁵,,,
137,xiandao,1292,n³¹cɛ⁵⁵,n ³¹ + c ɛ ⁵⁵,,,
4234,maru,1220,ʃɔ̆³⁵mji³¹,ʃ ɔ̆ ³⁵ + m j i ³¹,,,
141,achanglongchuan,1927,o³¹,o ³¹,,,
143,atsi,1927,va²¹,v a ²¹,,,
144,bola,1927,va³¹,v a ³¹,,,
4242,achanglongchuan,1265,m̥ʐaŋ⁵⁵,m̥ ʐ a ŋ ⁵⁵,,,
147,lashi,1927,wo³³,w o ³³,,,
148,maru,1927,vɔ³⁵,v ɔ ³⁵,,,
4245,bola,1265,mjɔ̱̃⁵⁵,m j ɔ̰̃ ∼ ⁵⁵,,,
4121,xiandao,1404,ʂa³¹,ʂ a ³¹,bad concept,,
4248,lashi,1265,mja̱ːŋ³³,m j a̰ː ŋ ³³,,,
4249,maru,1265,mjɔ̃³¹,m j ɔ̃ ∼ ³¹,,,
4251,xiandao,1265,m̥ʐaŋ⁵⁵,m̥ ʐ a ŋ ⁵⁵,,,
4255,achanglongchuan,1515,tɕhe⁵⁵,tɕʰ e ⁵⁵,,,
4258,atsi,1515,tshe⁵¹,tsʰ e ⁵¹,,,
4260,bola,1515,tă³¹thai⁵⁵,t ă ³¹ + tʰ a i ⁵⁵,,,
4263,lashi,1515,tă³¹tshe³³,t ă ³¹ + tsʰ e ³³,,,
4264,maru,1515,tshɛ³¹,tsʰ ɛ ³¹,,,
4266,xiandao,1515,ta³¹tshi⁵⁵,t a ³¹ + tsʰ i ⁵⁵,,,
2078,bola,1200,jɔ̃³¹lɔ̃⁵⁵,j ɔ̃ ∼ ³¹ + l ɔ̃ ∼ ⁵⁵,,,
3143,achanglongchuan,1452,tun³¹,t u n ³¹,,,
4283,bola,78,xu⁵¹,x u ⁵¹,bad concept,,
2052,bola,1634,ja⁵⁵,j a ⁵⁵,,,
4290,achanglongchuan,78,the⁵⁵,tʰ e ⁵⁵,bad concept,,
4291,atsi,78,xje⁵¹,x j e ⁵¹,bad concept,,
4292,lashi,78,thə³³,tʰ ə ³³,bad concept,,
4293,maru,78,thø³¹,tʰ ø ³¹,bad concept,,
4294,xiandao,78,thɛ⁵⁵,tʰ ɛ ⁵⁵,bad concept,,
7543,oldburmese,1726,cuiv,ts ə w,,,
2082,maru,1200,lɔ̃³¹,l ɔ̃ ∼ ³¹,,,
8400,xiandao,2250,a³¹◦xʐoʔ⁵⁵,a ³¹ + xʐ o ʔ ⁵⁵,,,
2083,xiandao,1200,laʔ³¹ŋau⁵⁵,l a ʔ ³¹ + ŋ a u ⁵⁵,,,
5497,rangoon,1726,so²²,s o ²²,,,
2767,bola,1942,tʃɔ̱̃³⁵,tʃ ɔ̰̃ ∼ ³⁵,bad concept,,
4316,achanglongchuan,1937,the⁵⁵thɔʔ⁵⁵,tʰ e ⁵⁵ + tʰ ɔ ʔ ⁵⁵,bad concept,,
4317,atsi,1937,xje⁵¹ma⁵⁵,x j e ⁵¹ + m a ⁵⁵,bad concept,,
4318,bola,1937,thɔ̆i⁵⁵mɛ̃⁵⁵,tʰ ɔ̆ i ⁵⁵ + m ɛ̃ ∼ ⁵⁵,bad concept,,
4319,lashi,1937,thə³³mo³³,tʰ ə ³³ + m o ³³,bad concept,,
4320,maru,1937,thø⁵⁵mɛ³¹,tʰ ø ⁵⁵ + m ɛ ³¹,bad concept,,
4321,xiandao,1937,thɛ⁵⁵thɔʔ⁵⁵,tʰ ɛ ⁵⁵ + tʰ ɔ ʔ ⁵⁵,bad concept,,
5499,rangoon,249,mju²²,m j u ²²,,,
2089,achanglongchuan,617,kət³⁵,k ə t ³⁵,,,
4356,achanglongchuan,1244,kan³¹,k a n ³¹,,,
4359,atsi,1244,thu⁵¹,tʰ u ⁵¹,,,
4361,bola,1244,thu⁵⁵,tʰ u ⁵⁵,,,
4364,lashi,1244,thuː³³,tʰ uː ³³,,,
1410,atsi,227,ŋŏ²¹tso²¹,ŋ ŏ ²¹ + ts o ²¹,,,
4367,xiandao,1244,kan³⁵,k a n ³⁵,,,
2094,bola,617,ŋɛ̱̃⁵⁵,ŋ ɛ̰̃ ∼ ⁵⁵,,,
2096,lashi,617,ŋa̱n³³,ŋ a̰ n ³³,,,
299,bola,1251,vɛ³¹tau³¹,v ɛ ³¹ + t a u ³¹,,,
302,maru,1251,vẽ³⁵tuk³¹,v ẽ ³⁵ + t u k ³¹,,,
310,achanglongchuan,1202,kʐə³¹,k ʐ ə ³¹,,,
5513,rangoon,1236,bɑ²²,b ɑ ²²,,,
312,atsi,1202,ko̱²¹,k o̰ ²¹,,,
313,bola,1202,kɔ̱³⁵,k ɔ̰ ³⁵,,,
316,lashi,1202,kjiː³³,k j iː ³³,,,
317,maru,1202,ɣə³⁵,ɣ ə ³⁵,,,
319,xiandao,1202,kɯ³¹,k ɯ ³¹,,,
325,achanglongchuan,937,m̥ɔʔ⁵⁵,m̥ ɔ ʔ ⁵⁵,,,
327,atsi,937,ŋo̱ʔ⁵⁵,ŋ o̰ ʔ ⁵⁵,,,
328,bola,937,ŋa̱ʔ⁵⁵,ŋ a̰ ʔ ⁵⁵,,,
331,lashi,937,ŋɔ̱ʔ⁵⁵,ŋ ɔ̰ ʔ ⁵⁵,,,
332,maru,937,ŋɔ̱ʔ⁵⁵,ŋ ɔ̰ ʔ ⁵⁵,,,
334,xiandao,937,ŋ̊ɔʔ⁵⁵,ŋ̊ ɔ ʔ ⁵⁵,,,
1421,achanglongchuan,493,ŋɔ³¹,ŋ ɔ ³¹,,,
343,bola,1403,pɛ̃³¹,p ɛ̃ ∼ ³¹,bad concept,,
348,maru,1403,pəŋ³⁵,p ə ŋ ³⁵,bad concept,,
350,lashi,1403,ŋaːt³¹,ŋ aː t ³¹,bad concept,,
4453,achanglongchuan,1415,sam⁵⁵,s a m ⁵⁵,,,
4456,atsi,1415,mjit²¹,m j i t ²¹,,,
4458,bola,1415,mjɔt³¹,m j ɔ t ³¹,,,
4460,lashi,1415,mjiːt³¹,m j iː t ³¹,,,
4461,maru,1415,mjik³¹,m j i k ³¹,,,
367,achanglongchuan,163,lɔk⁵⁵,l ɔ k ⁵⁵,,,
369,atsi,163,noʔ²¹,n o ʔ ²¹,,,
370,bola,163,naʔ³¹,n a ʔ ³¹,,,
4467,achanglongchuan,1214,xai⁵⁵,x a i ⁵⁵,,,
373,lashi,163,nɔːʔ³¹,n ɔː ʔ ³¹,,,
374,maru,163,nɔʔ³¹,n ɔ ʔ ³¹,,,
375,xiandao,163,nɔʔ⁵⁵,n ɔ ʔ ⁵⁵,,,
4472,bola,1214,tʃhə⁵⁵,tʃʰ ə ⁵⁵,,,
5524,rangoon,493,ŋɑ⁵⁵,ŋ ɑ ⁵⁵,,,
4475,lashi,1214,xjɛ³³,x j ɛ ³³,,,
4476,maru,1214,tʃhɛ³¹,tʃʰ ɛ ³¹,,,
4478,xiandao,1214,xai⁵⁵,x a i ⁵⁵,,,
383,bola,946,sui³⁵,s u i ³⁵,,,
7105,oldburmese,163,nak,n a k,,,
389,maru,946,sa³⁵,s a ³⁵,,,
406,achanglongchuan,175,xʐauʔ³⁵,x ʐ a u ʔ ³⁵,,,
407,atsi,175,khjui²¹,kʰ j u i ²¹,,,
408,bola,175,khju³⁵,kʰ j u ³⁵,,,
409,lashi,175,khjaːu⁵³,kʰ j aː u ⁵³,,,
411,maru,175,khjuk⁵⁵,kʰ j u k ⁵⁵,,,
1514,lashi,420,sə̱kjo³¹,s ə̰ k + j o ³¹,,,
3151,maru,1452,tʃu̱m³⁵,tʃ ṵ m ³⁵,,,
4524,achanglongchuan,492,sum³¹,s u m ³¹,,,
4527,atsi,492,sum²¹,s u m ²¹,,,
4529,bola,492,sam⁵⁵,s a m ⁵⁵,,,
4532,lashi,492,sɔm⁵⁵,s ɔ m ⁵⁵,,,
4533,maru,492,sam³¹,s a m ³¹,,,
4535,xiandao,492,sum³¹,s u m ³¹,,,
4541,achanglongchuan,1456,xuat⁵⁵,x u a t ⁵⁵,bad concept,,
3970,atsi,1440,pje⁵⁵,p j e ⁵⁵,,,
2805,maru,1382,ŋɛ̱ʔ⁵⁵,ŋ ɛ̰ ʔ ⁵⁵,,,
4544,atsi,1456,tu⁵⁵,t u ⁵⁵,bad concept,,
1440,maru,1574,mjuŋ³⁵,m j u ŋ ³⁵,,,
4546,bola,1456,pjɛ̱ʔ⁵⁵,p j ɛ̰ ʔ ⁵⁵,bad concept,,
4549,lashi,1456,tuːn³³,t uː n ³³,bad concept,,
4550,maru,1456,pjɛ̱ʔ⁵⁵,p j ɛ̰ ʔ ⁵⁵,bad concept,,
1441,xiandao,1574,ɲu³¹,ɲ u ³¹,,,
4552,xiandao,1456,fu⁵⁵,f u ⁵⁵,bad concept,,
1516,xiandao,420,kʐom⁵⁵,k ʐ o m ⁵⁵,,,
1445,achanglongchuan,2003,so³¹,s o ³¹,,,
6290,maru,1329,nɛʔ³¹mɔ⁵⁵nɛʔ³¹,n ɛ ʔ ³¹ + m ɔ ⁵⁵ + n ɛ ʔ ³¹,,,
487,bola,1394,ʃă³⁵u³¹,ʃ ă ³⁵ + u ³¹,,,
490,lashi,1394,ʃŏ⁵⁵jou³³,ʃ ŏ ⁵⁵ + j o u ³³,,,
493,maru,1394,ʃŏ³⁵ɣuk⁵⁵,ʃ ŏ ³⁵ + ɣ u k ⁵⁵,,,
1448,bola,2003,ju⁵⁵,j u ⁵⁵,,,
4594,achanglongchuan,1205,ɕɔ⁵⁵,ɕ ɔ ⁵⁵,,,
4597,atsi,1205,ʃo⁵¹,ʃ o ⁵¹,,,
4600,bola,1205,ʃa⁵⁵,ʃ a ⁵⁵,,,
4605,lashi,1205,jo̱³³,j o̰ ³³,,,
4608,maru,1205,ʃɔ³¹,ʃ ɔ ³¹,,,
4610,xiandao,1205,çɔ⁵⁵,ç ɔ ⁵⁵,,,
4615,achanglongchuan,1380,tɕoi⁵⁵,tɕ o i ⁵⁵,,,
1452,xiandao,2003,ʂa³¹,ʂ a ³¹,,,
4618,atsi,1380,tsui⁵¹,ts u i ⁵¹,,,
4620,bola,1380,tui⁵⁵,t u i ⁵⁵,,,
526,achanglongchuan,1531,ʂək⁵⁵kʐaŋ⁵⁵,ʂ ə k ⁵⁵ + k ʐ a ŋ ⁵⁵,,,
528,atsi,1531,sik⁵⁵kja̱ŋ⁵¹,s i k ⁵⁵ + k j a̰ ŋ ⁵¹,,,
529,bola,1531,sak⁵⁵ka̱ʔ⁵⁵,s a k ⁵⁵ + k a̰ ʔ ⁵⁵,,,
532,lashi,1531,sə̱k⁵⁵kɔ̱ʔ⁵⁵,s ə̰ k ⁵⁵ + k ɔ̰ ʔ ⁵⁵,,,
533,maru,1531,sa̱k⁵⁵kɔ̱ʔ⁵⁵,s a̰ k ⁵⁵ + k ɔ̰ ʔ ⁵⁵,,,
4630,xiandao,1380,cui⁵⁵,c u i ⁵⁵,,,
8730,maru,2250,phɔʔ⁵⁵,pʰ ɔ ʔ ⁵⁵,,,
8731,maru,2250,fɔʔ⁵⁵,f ɔ ʔ ⁵⁵,,,
4639,achanglongchuan,906,saŋ³¹tseŋ⁵⁵,s a ŋ ³¹ + ts e ŋ ⁵⁵,,,
545,bola,1402,nau³⁵,n a u ³⁵,,,
4642,atsi,906,sik⁵⁵,s i k ⁵⁵,,,
4644,bola,906,sak⁵⁵,s a k ⁵⁵,,,
4647,lashi,906,sə̱k⁵⁵,s ə̰ k ⁵⁵,,,
4648,maru,906,sa̱k⁵⁵,s a̰ k ⁵⁵,,,
4650,xiandao,906,ʂɯk⁵⁵,ʂ ɯ k ⁵⁵,,,
573,achanglongchuan,1428,ȵe³⁵,nʲ e ³⁵,,,
574,atsi,1428,ŋje⁵⁵,ŋ j e ⁵⁵,,,
575,bola,1428,tɛʔ³¹,t ɛ ʔ ³¹,,,
577,lashi,1428,ta̱ːp⁵⁵,t a̰ː p ⁵⁵,,,
578,maru,1428,tɛʔ³¹,t ɛ ʔ ³¹,,,
579,xiandao,1428,tʂap³⁵,tʂ a p ³⁵,,,
1462,lashi,239,pan³³,p a n ³³,,,
5559,rangoon,1214,tθi²²,tθ i ²²,,,
1464,xiandao,239,pan⁵⁵tam³¹,p a n ⁵⁵ + t a m ³¹,,,
596,achanglongchuan,1869,oi⁵⁵,o i ⁵⁵,,,
598,atsi,1869,vui⁵¹,v u i ⁵¹,,,
599,bola,1869,vɛ⁵⁵,v ɛ ⁵⁵,,,
602,lashi,1869,ɣəː³¹,ɣ əː ³¹,,,
603,maru,1869,vai³¹,v a i ³¹,,,
604,xiandao,1869,ui⁵⁵,u i ⁵⁵,,,
4702,atsi,1710,i⁵⁵tshe⁵¹,i ⁵⁵ + tsʰ e ⁵¹,,,
4704,bola,1710,i̱³⁵thai⁵⁵,ḭ ³⁵ + tʰ a i ⁵⁵,,,
4706,lashi,1710,ə̱⁵⁵tshe³³,ə̰ ⁵⁵ + tsʰ e ³³,,,
4707,maru,1710,ʃi̱k⁵⁵tshɛ³¹,ʃ ḭ k ⁵⁵ + tsʰ ɛ ³¹,,,
4709,xiandao,1710,ta³¹sau⁵⁵,t a ³¹ + s a u ⁵⁵,,,
7249,oldburmese,1228,mliy,m l i j,,,
4713,achanglongchuan,1498,sək⁵⁵,s ə k ⁵⁵,,,
4716,atsi,1498,i⁵⁵,i ⁵⁵,,,
4718,bola,1498,i̱³⁵,ḭ ³⁵,,,
4721,lashi,1498,ə̱k⁵⁵,ə̰ k ⁵⁵,,,
4722,maru,1498,ʃi̱k⁵⁵,ʃ ḭ k ⁵⁵,,,
627,achanglongchuan,1304,tsă³¹oi³¹,ts ă ³¹ + o i ³¹,,,
4724,xiandao,1498,sɤk⁵⁵,s ɤ k ⁵⁵,,,
629,atsi,1304,tsŏ²¹ʃaŋ⁵¹,ts ŏ ²¹ + ʃ a ŋ ⁵¹,,,
630,bola,1304,tă³¹ʃɔ̃⁵⁵,t ă ³¹ + ʃ ɔ̃ ∼ ⁵⁵,,,
633,maru,1304,tsɔ̆³⁵ʃɔ̃³¹,ts ɔ̆ ³⁵ + ʃ ɔ̃ ∼ ³¹,,,
634,xiandao,1304,tsɔ³¹ui³¹,ts ɔ ³¹ + u i ³¹,,,
1471,bola,1441,tɔ̃³¹,t ɔ̃ ∼ ³¹,,,
660,achanglongchuan,1489,xan³¹tɕin³¹,x a n ³¹ + tɕ i n ³¹,,,
7387,oldburmese,784,nhaṅḥ,n̥ a ŋ ⁵⁵,,,
663,atsi,1489,mu̱t⁵⁵mau⁵⁵,m ṵ t ⁵⁵ + m a u ⁵⁵,,,
664,bola,1489,tʃa̱m⁵⁵,tʃ a̰ m ⁵⁵,,,
1476,xiandao,1441,tʂam⁵⁵,tʂ a m ⁵⁵,,,
666,lashi,1489,tsɔ̱m⁵⁵mou⁵⁵,ts ɔ̰ m ⁵⁵ + m o u ⁵⁵,,,
667,maru,1489,tʃa̱m³¹thɔi³⁵,tʃ a̰ m ³¹ + tʰ ɔ i ³⁵,,,
668,xiandao,1489,çaŋ⁵⁵cin³¹,ç a ŋ ⁵⁵ + c i n ³¹,,,
672,achanglongchuan,1287,kʐuat⁵⁵,k ʐ u a t ⁵⁵,bad concept,,
674,atsi,1287,kjoʔ²¹,k j o ʔ ²¹,bad concept,,
675,bola,1287,kjaʔ³¹,k j a ʔ ³¹,bad concept,,
676,lashi,1287,ŋaːm⁵⁵,ŋ aː m ⁵⁵,bad concept,,
677,maru,1287,kjɔʔ³¹,k j ɔ ʔ ³¹,bad concept,,
678,xiandao,1287,kʐot⁵⁵,k ʐ o t ⁵⁵,bad concept,,
4780,achanglongchuan,1278,phat⁵⁵,pʰ a t ⁵⁵,,,
686,achanglongchuan,1446,ʐə³⁵,ʐ ə ³⁵,,,
4783,atsi,1278,phat⁵⁵,pʰ a t ⁵⁵,,,
689,atsi,1446,le⁵⁵,l e ⁵⁵,,,
691,bola,1446,la⁵⁵,l a ⁵⁵,,,
4788,lashi,1278,phaːt⁵⁵,pʰ aː t ⁵⁵,,,
4790,maru,1278,tauk³¹,t a u k ³¹,,,
695,maru,1446,li⁵⁵,l i ⁵⁵,,,
4793,xiandao,1278,phat⁵⁵,pʰ a t ⁵⁵,,,
2069,maru,1435,ʃɔ̆³⁵pak³¹,ʃ ɔ̆ ³⁵ + p a k ³¹,,,
8894,bola,2250,sak⁵⁵◦faʔ⁵⁵,s a k ⁵⁵ + f a ʔ ⁵⁵,,,
4801,atsi,1443,so²¹,s o ²¹,,,
4803,bola,1443,sɔ³⁵,s ɔ ³⁵,,,
4805,lashi,1443,sɔ̱ː⁵⁵,s ɔ̰ː ⁵⁵,,,
4806,maru,1443,su³⁵,s u ³⁵,,,
4808,xiandao,1443,so³¹,s o ³¹,,,
5017,atsi,1235,o⁵⁵,o ⁵⁵,,,
1486,atsi,249,sai⁵⁵von²¹,s a i ⁵⁵ + v o n ²¹,,,
1487,bola,249,sai³⁵vun³¹,s a i ³⁵ + v u n ³¹,,,
738,achanglongchuan,1420,an³⁵,a n ³⁵,,,
740,atsi,1420,ŋa̱p⁵⁵,ŋ a̰ p ⁵⁵,,,
741,bola,1420,ŋɛ̱ʔ⁵⁵,ŋ ɛ̰ ʔ ⁵⁵,,,
743,lashi,1420,ŋa̱ːp⁵⁵,ŋ a̰ː p ⁵⁵,,,
744,maru,1420,ŋɛ̱ʔ⁵⁵,ŋ ɛ̰ ʔ ⁵⁵,,,
745,xiandao,1420,an³⁵,a n ³⁵,,,
4865,achanglongchuan,948,ti⁵⁵,t i ⁵⁵,,,
4868,atsi,948,vui⁵¹,v u i ⁵¹,,,
4871,bola,948,ɣəi⁵⁵,ɣ ə i ⁵⁵,,,
4875,lashi,948,kjei³¹,k j e i ³¹,,,
4877,maru,948,ɣək³¹,ɣ ə k ³¹,,,
4879,xiandao,948,ti⁵⁵,t i ⁵⁵,,,
3033,xiandao,1337,oʔ⁵⁵,o ʔ ⁵⁵,,,
4894,achanglongchuan,1131,ŋɔ⁵⁵tuʔ³¹,ŋ ɔ ⁵⁵ + t u ʔ ³¹,bad concept,,
4895,atsi,1131,ŋa⁵⁵moʔ⁵⁵,ŋ a ⁵⁵ + m o ʔ ⁵⁵,bad concept,,
4896,bola,1131,ŋă⁵⁵maʔ³¹,ŋ ă ⁵⁵ + m a ʔ ³¹,bad concept,,
4897,lashi,1131,ŋŏ³¹nu̱ŋ⁵⁵,ŋ ŏ ³¹ + n ṵ ŋ ⁵⁵,bad concept,,
4898,maru,1131,ŋɔ̆³¹na̱uŋ⁵⁵,ŋ ɔ̆ ³¹ + n a̰ u ŋ ⁵⁵,bad concept,,
4899,xiandao,1131,ŋɔ⁵⁵tu³⁵,ŋ ɔ ⁵⁵ + t u ³⁵,bad concept,,
4231,lashi,1220,ʃŏ⁵⁵mji³³,ʃ ŏ ⁵⁵ + m j i ³³,,,
6280,xiandao,1301,chi⁵⁵,cʰ i ⁵⁵,,,
4237,xiandao,1220,n̥i³¹tʂhɔ³¹,n̥ i ³¹ + ʈʂʰ ɔ ³¹,,,
4951,achanglongchuan,1726,phet⁵⁵,pʰ e t ⁵⁵,,,
4953,atsi,1726,te̱ʔ⁵⁵,t ḛ ʔ ⁵⁵,,,
4954,bola,1726,tʃɔ̱ʔ⁵⁵,tʃ ɔ̰ ʔ ⁵⁵,,,
2191,lashi,1417,sa̱ːt⁵⁵,s a̰ː t ⁵⁵,bad concept,,
4957,lashi,1726,tʃu̱ːʔ⁵⁵,tʃ ṵː ʔ ⁵⁵,,,
4958,maru,1726,tʃu̱k⁵⁵,tʃ ṵ k ⁵⁵,,,
4959,xiandao,1726,coʔ⁵⁵,c o ʔ ⁵⁵,,,
2192,maru,1417,sɛ̱ʔ⁵⁵,s ɛ̰ ʔ ⁵⁵,bad concept,,
4963,achanglongchuan,1236,pi³¹si⁵⁵,p i ³¹ + s i ⁵⁵,,,
4966,atsi,1236,xai⁵¹,x a i ⁵¹,,,
4968,bola,1236,pɛ̱⁵⁵tʃuŋ³¹,p ɛ̰ ⁵⁵ + tʃ u ŋ ³¹,,,
4970,lashi,1236,xa³¹tʃuŋ³³,x a ³¹ + tʃ u ŋ ³³,,,
4971,maru,1236,pɛ̱⁵⁵,p ɛ̰ ⁵⁵,,,
4973,xiandao,1236,pɛ³¹,p ɛ ³¹,,,
1512,atsi,420,sik⁵⁵pu̱ŋ⁵⁵,s i k ⁵⁵ + p ṵ ŋ ⁵⁵,,,
3561,bola,1409,mjɔ̃⁵⁵,m j ɔ̃ ∼ ⁵⁵,,,
888,bola,1494,ʃɿ⁵⁵,ʃ ɿ ⁵⁵,,,
4244,atsi,1265,mja̱ŋ⁵¹,m j a̰ ŋ ⁵¹,,,
4987,atsi,1237,kha⁵¹ma⁵⁵,kʰ a ⁵¹ + m a ⁵⁵,,,
4989,bola,1237,khăk⁵⁵khja⁵⁵,kʰ ă k ⁵⁵ + kʰ j a ⁵⁵,,,
149,xiandao,1927,o³¹,o ³¹,,,
896,maru,1494,ʃik³¹,ʃ i k ³¹,,,
898,xiandao,1494,ʂɿ⁵⁵,ʂ ɿ ⁵⁵,,,
4998,achanglongchuan,1335,phʐo⁵⁵,pʰ ʐ o ⁵⁵,,,
5000,atsi,1335,phju⁵¹,pʰ j u ⁵¹,,,
5001,bola,1335,phju⁵⁵,pʰ j u ⁵⁵,,,
5004,lashi,1335,phjuː³³,pʰ j uː ³³,,,
5005,maru,1335,phju³¹,pʰ j u ³¹,,,
5006,xiandao,1335,phʐu⁵⁵,pʰ ʐ u ⁵⁵,,,
913,atsi,1418,khai²¹,kʰ a i ²¹,bad concept,,
917,lashi,1418,tuː³³,t uː ³³,bad concept,,
5014,achanglongchuan,1235,xau⁵⁵,x a u ⁵⁵,,,
920,xiandao,1418,tu³¹,t u ³¹,bad concept,,
921,achanglongchuan,1418,tu³¹,t u ³¹,bad concept,,
5019,bola,1235,khak⁵⁵jauʔ³¹,kʰ a k ⁵⁵ + j a u ʔ ³¹,,,
2202,bola,1371,pɔ̱t⁵⁵lauʔ⁵⁵,p ɔ̰ t ⁵⁵ + l a u ʔ ⁵⁵,,,
5022,lashi,1235,xaŋ⁵⁵,x a ŋ ⁵⁵,,,
5023,maru,1235,khə̆³¹jauk³¹,kʰ ə̆ ³¹ + j a u k ³¹,,,
5025,xiandao,1235,xau⁵⁵,x a u ⁵⁵,,,
6299,atsi,2376,a²¹pji̱⁵¹,a ²¹ + p j ḭ ⁵¹,,,
936,achanglongchuan,1230,ək³⁵,ə k ³⁵,,,
938,atsi,1230,tʃhaʔ⁵⁵,tʃʰ a ʔ ⁵⁵,,,
940,bola,1230,lu̱³⁵,l ṵ ³⁵,,,
942,lashi,1230,a³¹san⁵⁵,a ³¹ + s a n ⁵⁵,,,
943,maru,1230,la̱u³⁵,l a̰ u ³⁵,,,
944,xiandao,1230,ɤk³⁵,ɤ k ³⁵,,,
5049,achanglongchuan,1199,ȵi³¹mɔʔ³¹,nʲ i ³¹ + m ɔ ʔ ³¹,,,
6303,achanglongchuan,846,lɔ³¹,l ɔ ³¹,,,
5052,atsi,1199,mji²¹,m j i ²¹,,,
957,atsi,2009,khui²¹,kʰ u i ²¹,,,
5054,bola,1199,jõ³¹mi³¹,j õ ³¹ + m i ³¹,,,
961,lashi,2009,khui⁵⁵,kʰ u i ⁵⁵,,,
5058,maru,1199,mji³⁵,m j i ³⁵,,,
964,xiandao,2009,fui³¹,f u i ³¹,,,
9161,oldburmese,toburnintransitive,ñi,nʲ i,,,
5066,achanglongchuan,960,l̥i⁵⁵,l̥ i ⁵⁵,,,
5069,atsi,960,lai⁵¹,l a i ⁵¹,,,
5071,bola,960,li⁵⁵,l i ⁵⁵,,,
5074,lashi,960,lei³¹,l e i ³¹,,,
5075,maru,960,la³¹,l a ³¹,,,
980,achanglongchuan,2374,it⁵⁵mɔʔ⁵⁵,i t ⁵⁵ + m ɔ ʔ ⁵⁵,,,
5077,xiandao,960,lai⁵⁵,l a i ⁵⁵,,,
982,bola,2374,ja̱p⁵⁵maʔ⁵⁵,j a̰ p ⁵⁵ + m a ʔ ⁵⁵,,,
983,lashi,2374,jɔ̱p⁵⁵mɔʔ³¹,j ɔ̰ p ⁵⁵ + m ɔ ʔ ³¹,,,
984,maru,2374,ja̱p³¹mɔʔ³¹,j a̰ p ³¹ + m ɔ ʔ ³¹,,,
985,xiandao,2374,in³¹mɔʔ⁵⁵,i n ³¹ + m ɔ ʔ ⁵⁵,,,
5089,achanglongchuan,1257,a³¹tuŋ⁵⁵,a ³¹ + t u ŋ ⁵⁵,,,
5627,rangoon,1277,lɛʔ⁴,l ɛ ʔ ⁴,,,
5092,atsi,1257,tuŋ⁵¹,t u ŋ ⁵¹,,,
5094,bola,1257,tauŋ⁵⁵,t a u ŋ ⁵⁵,,,
5098,lashi,1257,tuŋ³¹,t u ŋ ³¹,,,
5100,maru,1257,tauŋ³¹,t a u ŋ ³¹,,,
5629,rangoon,1333,lɛ²²pĩ⁵⁵,l ɛ ²² + p ĩ ∼ ⁵⁵,,,
5108,achanglongchuan,1454,sut⁵⁵,s u t ⁵⁵,,,
1534,bola,1500,məi³¹,m ə i ³¹,,,
5111,atsi,1454,sut⁵⁵,s u t ⁵⁵,,,
5113,bola,1454,sɔt⁵⁵,s ɔ t ⁵⁵,,,
5116,lashi,1454,suːt⁵⁵,s uː t ⁵⁵,,,
5117,maru,1454,sa̱t⁵⁵,s a̰ t ⁵⁵,,,
5120,xiandao,1454,sut⁵⁵,s u t ⁵⁵,,,
5127,achanglongchuan,962,i³¹ȵɔ³¹,i ³¹ + nʲ ɔ ³¹,,,
5130,atsi,962,mji²¹ve²¹,m j i ²¹ + v e ²¹,,,
5132,bola,962,mi³¹ɣɛ³¹,m i ³¹ + ɣ ɛ ³¹,,,
1037,achanglongchuan,1398,səʔ⁵⁵,s ə ʔ ⁵⁵,,,
1039,atsi,1398,xui⁵⁵,x u i ⁵⁵,,,
1040,bola,1398,kja̱uʔ⁵⁵,k j a̰ u ʔ ⁵⁵,,,
5138,xiandao,962,ji³¹ɲɔ³¹,j i ³¹ + ɲ ɔ ³¹,,,
1043,lashi,1398,kju̱ːʔ⁵⁵,k j ṵː ʔ ⁵⁵,,,
1044,maru,1398,fai⁵⁵,f a i ⁵⁵,,,
1046,xiandao,1398,tsui³⁵,ts u i ³⁵,,,
5148,achanglongchuan,1803,ʂək⁵⁵,ʂ ə k ⁵⁵,,,
5150,atsi,1803,sik⁵⁵tu̱m⁵⁵,s i k ⁵⁵ + t ṵ m ⁵⁵,,,
5152,bola,1803,sak⁵⁵ta̱m³⁵,s a k ⁵⁵ + t a̰ m ³⁵,,,
5155,lashi,1803,sə̱k⁵⁵tɔ̱m⁵³,s ə̰ k ⁵⁵ + t ɔ̰ m ⁵³,,,
5156,maru,1803,sak⁵⁵thauŋ³⁵,s a k ⁵⁵ + tʰ a u ŋ ³⁵,,,
5158,xiandao,1803,pɛn³¹,p ɛ n ³¹,,,
