# Wordlist

# DATA
ID	COGID	POS	ALIGNMENT	CONCEPT	DOCULECT	ORIGINAL_CONCEPT	STEDT_SRCID	ORIGINAL_TAXNAME	ORIGINAL_ENTRY	MORPHEMES	NOTE	COGIDS	SOURCE	STEDT_GLOSS	CONCEPTICON_ID	STEDT_REFLEX	IPA	STEDT_CONCEPT	TOKENS	STEDT_RN	STEDT_ANALYSIS	STEDT_ID
1039	329	other	x u i ⁵⁵	dry	Atsi	dry	1028.30	Atsi [Zaiwa] TBL	xui⁵⁵  | 1028.30	dry		233	TBL		1398	xui⁵⁵	xui⁵⁵	dry	x u i ⁵⁵	397972	3298	5098
1040	329	other	k j a̰ u ʔ ⁵⁵	dry	Bola	dry	1028.32	Bola (Luxi) TBL	kja̱uʔ⁵⁵  | 1028.32	dry		40027	TBL		1398	kja̱uʔ⁵⁵	kja̱uʔ⁵⁵	dry	k j a̰ u ʔ ⁵⁵	397974	10027	6525
1043	329	other	k j ṵː - ʔ ⁵⁵	dry	Lashi	dry	1028.33	Leqi (Luxi) TBL	kju̱ːʔ⁵⁵  | 1028.33	dry		40155	TBL		1398	kju̱ːʔ⁵⁵	kju̱ːʔ⁵⁵	dry	k j ṵː ʔ ⁵⁵	397975	10155	11619
1044	329	other	f a i ⁵⁵	dry	Maru	dry	1028.31	Langsu (Luxi) TBL	fai⁵⁵  | 1028.31	dry		233	TBL		1398	fai⁵⁵	fai⁵⁵	dry	f a i ⁵⁵	397973	3298	12327
5416	329	other	tɕʰ - ɑ u ʔ ⁴	dry	Rangoon		1028.27			dry		40075	TBL		1398	tɕhɑuʔ⁴	ʨʰɑuʔ⁴	dry	tɕʰ ɑ u ʔ ⁴	397969	10075	3654
#
6144	94		n ɔ ʔ ⁵⁵	early	Achang_Longchuan	early	1018.28	Achang (Longchuan)	nɔʔ⁵⁵	early		35	TBL		672		nɔʔ⁵⁵		n ɔ ʔ ⁵⁵	36917	6227	10910
6202	94		n ɔ ʔ ⁵⁵	early	Maru	early	1018.31	Langsu (Luxi)	nɔʔ⁵⁵	early		35	TBL		672		nɔʔ⁵⁵		n ɔ ʔ ⁵⁵	44194	6227	13561
6307	94		n o ʔ ²¹	early	Atsi	early	1018.30	Atsi [Zaiwa]	noʔ²¹	early		35	TBL		672		noʔ²¹		n o ʔ ²¹	42354	6227	13270
6474	94		n ɔː ʔ ⁵⁵	early	Lashi	early	1018.33	Leqi (Luxi)	nɔːʔ⁵⁵	early		35	TBL		672		nɔːʔ⁵⁵		n ɔː ʔ ⁵⁵	47794	6227	12268
