ID	RN	ANALYSIS	GANALYSIS	OANALYSIS	REFLEX	CONCEPT	GFN	LGID	DOCULECT	GRPID	GRPNO	GRP	CITATION	SRCABBR	SRCID	SEMKEY	CHAPTERTITLE	NUM_NOTES
9214	353492			5:bChinese,5:m	xa³¹vɔ³¹	Chinese (Han)	n	1828	Langsu (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0165.31	4.6	Ethnonyms/Place names	0
9522	353494				lə̆³¹xe̱i³³	Chinese (Han)	n	1830	Leqi (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0165.33	4.6	Ethnonyms/Place names	0
9863	353490				khaʔ³¹phɔŋ³¹	Chinese (Han)	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0165.29	4.6	Ethnonyms/Place names	0
10012	353491				mji²¹va²¹	Chinese (Han)	n	1827	Atsi [Zaiwa]	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0165.30	4.6	Ethnonyms/Place names	0
4149	384818				kɑ̃²²shõ²²	February	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0773.27	9.1.2	Months and Years	0
7794	384817				kɑn²shun²	February	n	1822	Burmese (Written)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0773.26	9.1.2	Months and Years	0
8162	384823				ə³⁵jɛ³¹	February	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0773.32	9.1.2	Months and Years	0
8433	384819				sək⁵⁵pau⁵¹l̥ɔ³⁵	February	n	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0773.28	9.1.2	Months and Years	0
9528	384824				lə̆⁵⁵mo⁵⁵ə̱k⁵⁵khjap⁵⁵	February	n	1830	Leqi (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0773.33	9.1.2	Months and Years	0
9939	384820				lɤn³¹sɔŋ³⁵	February	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0773.29	9.1.2	Months and Years	0
